"targ_ID" "cond" "soa" "subj" "trial" "RT" "ERR.code" "dist_ID" "blk" "ERR.old" "ERR" "RT.old" "out" "exp"
"1" "Affe" "congruent" "-200" "5" 349 643 "correct" "Affe" "2" 0 0 643 0 4
"2" "Affe" "congruent" "-200" "2" 203 618 "correct" "Affe" "1" 0 0 618 0 4
"3" "Affe" "congruent" "-200" "24" 276 513 "correct" "Affe" "2" 0 0 513 0 4
"4" "Affe" "congruent" "-200" "7" 288 648 "correct" "Affe" "2" 0 0 648 0 4
"5" "Affe" "congruent" "-200" "23" 302 679 "correct" "Affe" "2" 0 0 679 0 4
"6" "Affe" "congruent" "-200" "17" 118 506 "correct" "Affe" "1" 0 0 506 0 4
"7" "Affe" "congruent" "-200" "6" 376 430 "correct" "Affe" "2" 0 0 430 0 4
"8" "Affe" "congruent" "-200" "9" 148 723 "correct" "Affe" "1" 0 0 723 0 4
"9" "Affe" "congruent" "-200" "13" 343 623 "correct" "Affe" "2" 0 0 623 0 4
"10" "Affe" "congruent" "-200" "19" 244 750 "correct" "Affe" "1" 0 0 750 0 4
"11" "Affe" "congruent" "-200" "4" 167 1048 "correct" "Affe" "1" 0 0 1048 0 4
"12" "Affe" "congruent" "-200" "16" 273 560 "correct" "Affe" "2" 0 0 560 0 4
"13" "Affe" "congruent" "-200" "10" 186 475 "correct" "Affe" "1" 0 0 475 0 4
"14" "Affe" "congruent" "-200" "1" 137 541 "correct" "Affe" "1" 0 0 541 0 4
"15" "Affe" "congruent" "-200" "3" 238 500 "correct" "Affe" "1" 0 0 500 0 4
"16" "Affe" "congruent" "-200" "15" 291 542 "correct" "Affe" "2" 0 0 542 0 4
"17" "Affe" "congruent" "-200" "11" 227 528 "correct" "Affe" "1" 0 0 528 0 4
"18" "Affe" "congruent" "-200" "22" 373 535 "correct" "Affe" "2" 0 0 535 0 4
"19" "Affe" "congruent" "-200" "20" 167 530 "correct" "Affe" "1" 0 0 530 0 4
"20" "Affe" "congruent" "-200" "8" 256 591 "correct" "Affe" "2" 0 0 591 0 4
"21" "Affe" "congruent" "-200" "12" 155 473 "correct" "Affe" "1" 0 0 473 0 4
"22" "Affe" "congruent" "-200" "18" 212 697 "correct" "Affe" "1" 0 0 697 0 4
