"targ_ID" "cond" "soa" "mod" "subj" "trial" "RT" "ERR.code" "dist_ID" "blk" "ERR.old" "ERR" "RT.old" "out" "exp"
"1" "Auto" "congruent" "-200" "auditory" "12" 144 1448 "correct" "Auto" "2" 0 0 1448 0 10
"2" "Auto" "congruent" "-200" "auditory" "11" 238 762 "correct" "Auto" "3" 0 0 762 0 10
"3" "Auto" "congruent" "-200" "auditory" "17" 179 1159 "correct" "Auto" "2" 0 0 1159 0 10
"4" "Auto" "congruent" "-200" "auditory" "5" 189 950 "correct" "Auto" "3" 0 0 950 0 10
"5" "Auto" "congruent" "-200" "auditory" "1" 294 NA "correct" "Auto" "1" 0 0 2132 1 10
"6" "Auto" "congruent" "-200" "auditory" "7" 313 1012 "correct" "Auto" "1" 0 0 1012 0 10
"7" "Auto" "congruent" "-200" "auditory" "3" 348 690 "correct" "Auto" "2" 0 0 690 0 10
"8" "Auto" "congruent" "-200" "auditory" "10" 85 1458 "correct" "Auto" "1" 0 0 1458 0 10
"9" "Auto" "congruent" "-200" "auditory" "13" 434 1156 "correct" "Auto" "3" 0 0 1156 0 10
"10" "Auto" "congruent" "-200" "auditory" "6" 159 734 "correct" "Auto" "2" 0 0 734 0 10
"11" "Auto" "congruent" "-200" "auditory" "18" 112 774 "correct" "Auto" "1" 0 0 774 0 10
"12" "Auto" "congruent" "-200" "auditory" "8" 418 826 "correct" "Auto" "3" 0 0 826 0 10
"13" "Auto" "congruent" "-200" "auditory" "19" 421 733 "correct" "Auto" "3" 0 0 733 0 10
"14" "Auto" "congruent" "-200" "auditory" "16" 211 1053 "correct" "Auto" "3" 0 0 1053 0 10
"15" "Auto" "congruent" "-200" "auditory" "22" 245 1045 "correct" "Auto" "3" 0 0 1045 0 10
"16" "Auto" "congruent" "-200" "auditory" "2" 438 752 "correct" "Auto" "3" 0 0 752 0 10
"17" "Auto" "congruent" "-200" "auditory" "24" 86 826 "correct" "Auto" "1" 0 0 826 0 10
"18" "Auto" "congruent" "-200" "auditory" "21" 316 925 "correct" "Auto" "1" 0 0 925 0 10
"19" "Auto" "congruent" "-200" "auditory" "20" 384 1215 "correct" "Auto" "2" 0 0 1215 0 10
"20" "Auto" "congruent" "-200" "auditory" "23" 133 787 "correct" "Auto" "2" 0 0 787 0 10
"21" "Auto" "congruent" "-200" "auditory" "4" 93 567 "correct" "Auto" "1" 0 0 567 0 10
"22" "Auto" "congruent" "-200" "auditory" "15" 288 1079 "correct" "Auto" "1" 0 0 1079 0 10
"23" "Auto" "congruent" "-200" "auditory" "14" 339 894 "correct" "Auto" "2" 0 0 894 0 10
"24" "Auto" "congruent" "-200" "auditory" "9" 368 805 "correct" "Auto" "2" 0 0 805 0 10
"25" "Auto" "congruent" "-200" "visual" "6" 348 650 "correct" "Auto" "2" 0 0 650 0 10
"26" "Auto" "congruent" "-200" "visual" "3" 159 647 "correct" "Auto" "2" 0 0 647 0 10
"27" "Auto" "congruent" "-200" "visual" "21" 86 1128 "correct" "Auto" "1" 0 0 1128 0 10
"28" "Auto" "congruent" "-200" "visual" "18" 288 905 "correct" "Auto" "1" 0 0 905 0 10
"29" "Auto" "congruent" "-200" "visual" "2" 189 677 "correct" "Auto" "3" 0 0 677 0 10
"30" "Auto" "congruent" "-200" "visual" "9" 144 613 "correct" "Auto" "2" 0 0 613 0 10
"31" "Auto" "congruent" "-200" "visual" "16" 434 978 "correct" "Auto" "3" 0 0 978 0 10
"32" "Auto" "congruent" "-200" "visual" "5" 438 748 "correct" "Auto" "3" 0 0 748 0 10
"33" "Auto" "congruent" "-200" "visual" "19" 245 804 "correct" "Auto" "3" 0 0 804 0 10
"34" "Auto" "congruent" "-200" "visual" "10" 313 1094 "correct" "Auto" "1" 0 0 1094 0 10
"35" "Auto" "congruent" "-200" "visual" "13" 211 1119 "correct" "Auto" "3" 0 0 1119 0 10
"36" "Auto" "congruent" "-200" "visual" "7" 85 1043 "correct" "Auto" "1" 0 0 1043 0 10
"37" "Auto" "congruent" "-200" "visual" "15" 112 1659 "correct" "Auto" "1" 0 0 1659 0 10
"38" "Auto" "congruent" "-200" "visual" "12" 368 729 "correct" "Auto" "2" 0 0 729 0 10
"39" "Auto" "congruent" "-200" "visual" "11" 418 786 "correct" "Auto" "3" 0 0 786 0 10
"40" "Auto" "congruent" "-200" "visual" "17" 339 1074 "correct" "Auto" "2" 0 0 1074 0 10
"41" "Auto" "congruent" "-200" "visual" "4" 294 595 "correct" "Auto" "1" 0 0 595 0 10
"42" "Auto" "congruent" "-200" "visual" "8" 238 835 "correct" "Auto" "3" 0 0 835 0 10
"43" "Auto" "congruent" "-200" "visual" "23" 384 842 "correct" "Auto" "2" 0 0 842 0 10
"44" "Auto" "congruent" "-200" "visual" "14" 179 771 "correct" "Auto" "2" 0 0 771 0 10
"45" "Auto" "congruent" "-200" "visual" "24" 316 548 "correct" "Auto" "1" 0 0 548 0 10
"46" "Auto" "congruent" "-200" "visual" "1" 93 1479 "correct" "Auto" "1" 0 0 1479 0 10
"47" "Auto" "congruent" "-200" "visual" "22" 421 1287 "correct" "Auto" "3" 0 0 1287 0 10
"48" "Auto" "congruent" "-200" "visual" "20" 133 1088 "correct" "Auto" "2" 0 0 1088 0 10
"49" "Auto" "congruent" "0" "auditory" "15" 434 1104 "correct" "Auto" "3" 0 0 1104 0 10
"50" "Auto" "congruent" "0" "auditory" "13" 339 1149 "correct" "Auto" "2" 0 0 1149 0 10
"51" "Auto" "congruent" "0" "auditory" "17" 112 1114 "correct" "Auto" "1" 0 0 1114 0 10
"52" "Auto" "congruent" "0" "auditory" "24" 245 938 "correct" "Auto" "3" 0 0 938 0 10
"53" "Auto" "congruent" "0" "auditory" "22" 133 1540 "correct" "Auto" "2" 0 0 1540 0 10
"54" "Auto" "congruent" "0" "auditory" "6" 189 983 "correct" "Auto" "3" 0 0 983 0 10
"55" "Auto" "congruent" "0" "auditory" "1" 348 1001 "correct" "Auto" "2" 0 0 1001 0 10
"56" "Auto" "congruent" "0" "auditory" "8" 313 1038 "correct" "Auto" "1" 0 0 1038 0 10
"57" "Auto" "congruent" "0" "auditory" "20" 316 1467 "correct" "Auto" "1" 0 0 1467 0 10
"58" "Auto" "congruent" "0" "auditory" "12" 238 948 "correct" "Auto" "3" 0 0 948 0 10
"59" "Auto" "congruent" "0" "auditory" "19" 384 983 "correct" "Auto" "2" 0 0 983 0 10
"60" "Auto" "congruent" "0" "auditory" "2" 294 914 "correct" "Auto" "1" 0 0 914 0 10
"61" "Auto" "congruent" "0" "auditory" "4" 159 671 "correct" "Auto" "2" 0 0 671 0 10
"62" "Auto" "congruent" "0" "auditory" "21" 421 1138 "correct" "Auto" "3" 0 0 1138 0 10
"63" "Auto" "congruent" "0" "auditory" "7" 368 1210 "correct" "Auto" "2" 0 0 1210 0 10
"64" "Auto" "congruent" "0" "auditory" "16" 179 1053 "correct" "Auto" "2" 0 0 1053 0 10
"65" "Auto" "congruent" "0" "auditory" "9" 418 932 "correct" "Auto" "3" 0 0 932 0 10
"66" "Auto" "congruent" "0" "auditory" "18" 211 876 "correct" "Auto" "3" 0 0 876 0 10
"67" "Auto" "congruent" "0" "auditory" "5" 93 972 "correct" "Auto" "1" 0 0 972 0 10
"68" "Auto" "congruent" "0" "auditory" "10" 144 1139 "correct" "Auto" "2" 0 0 1139 0 10
"69" "Auto" "congruent" "0" "auditory" "3" 438 793 "correct" "Auto" "3" 0 0 793 0 10
"70" "Auto" "congruent" "0" "auditory" "11" 85 943 "correct" "Auto" "1" 0 0 943 0 10
"71" "Auto" "congruent" "0" "auditory" "14" 288 1016 "correct" "Auto" "1" 0 0 1016 0 10
"72" "Auto" "congruent" "0" "auditory" "23" 86 983 "correct" "Auto" "1" 0 0 983 0 10
"73" "Auto" "congruent" "0" "visual" "5" 294 836 "correct" "Auto" "1" 0 0 836 0 10
"74" "Auto" "congruent" "0" "visual" "1" 159 1091 "correct" "Auto" "2" 0 0 1091 0 10
"75" "Auto" "congruent" "0" "visual" "17" 288 1016 "correct" "Auto" "1" 0 0 1016 0 10
"76" "Auto" "congruent" "0" "visual" "19" 133 1111 "correct" "Auto" "2" 0 0 1111 0 10
"77" "Auto" "congruent" "0" "visual" "11" 313 736 "correct" "Auto" "1" 0 0 736 0 10
"78" "Auto" "congruent" "0" "visual" "3" 189 681 "correct" "Auto" "3" 0 0 681 0 10
"79" "Auto" "congruent" "0" "visual" "18" 434 956 "correct" "Auto" "3" 0 0 956 0 10
"80" "Auto" "congruent" "0" "visual" "2" 93 1029 "correct" "Auto" "1" 0 0 1029 0 10
"81" "Auto" "congruent" "0" "visual" "10" 368 2110 "correct" "Auto" "2" 0 0 2110 0 10
"82" "Auto" "congruent" "0" "visual" "22" 384 893 "correct" "Auto" "2" 0 0 893 0 10
"83" "Auto" "congruent" "0" "visual" "8" 85 1221 "correct" "Auto" "1" 0 0 1221 0 10
"84" "Auto" "congruent" "0" "visual" "20" 86 1669 "correct" "Auto" "1" 0 0 1669 0 10
"85" "Auto" "congruent" "0" "visual" "4" 348 714 "correct" "Auto" "2" 0 0 714 0 10
"86" "Auto" "congruent" "0" "visual" "12" 418 756 "correct" "Auto" "3" 0 0 756 0 10
"87" "Auto" "congruent" "0" "visual" "16" 339 923 "correct" "Auto" "2" 0 0 923 0 10
"88" "Auto" "congruent" "0" "visual" "9" 238 735 "correct" "Auto" "3" 0 0 735 0 10
"89" "Auto" "congruent" "0" "visual" "24" 421 781 "correct" "Auto" "3" 0 0 781 0 10
"90" "Auto" "congruent" "0" "visual" "15" 211 919 "correct" "Auto" "3" 0 0 919 0 10
"91" "Auto" "congruent" "0" "visual" "7" 144 1018 "correct" "Auto" "2" 0 0 1018 0 10
"92" "Auto" "congruent" "0" "visual" "21" 245 809 "correct" "Auto" "3" 0 0 809 0 10
"93" "Auto" "congruent" "0" "visual" "13" 179 1137 "correct" "Auto" "2" 0 0 1137 0 10
"94" "Auto" "congruent" "0" "visual" "23" 316 964 "correct" "Auto" "1" 0 0 964 0 10
"95" "Auto" "congruent" "0" "visual" "6" 438 801 "correct" "Auto" "3" 0 0 801 0 10
"96" "Auto" "congruent" "0" "visual" "14" 112 957 "correct" "Auto" "1" 0 0 957 0 10
"97" "Auto" "congruent" "200" "auditory" "3" 294 867 "correct" "Auto" "1" 0 0 867 0 10
"98" "Auto" "congruent" "200" "auditory" "19" 316 1958 "correct" "Auto" "1" 0 0 1958 0 10
"99" "Auto" "congruent" "200" "auditory" "15" 339 897 "correct" "Auto" "2" 0 0 897 0 10
"100" "Auto" "congruent" "200" "auditory" "18" 179 950 "correct" "Auto" "2" 0 0 950 0 10
"101" "Auto" "congruent" "200" "auditory" "2" 348 725 "correct" "Auto" "2" 0 0 725 0 10
"102" "Auto" "congruent" "200" "auditory" "6" 93 788 "correct" "Auto" "1" 0 0 788 0 10
"103" "Auto" "congruent" "200" "auditory" "11" 144 818 "correct" "Auto" "2" 0 0 818 0 10
"104" "Auto" "congruent" "200" "auditory" "22" 86 1214 "correct" "Auto" "1" 0 0 1214 0 10
"105" "Auto" "congruent" "200" "auditory" "23" 245 1011 "correct" "Auto" "3" 0 0 1011 0 10
"106" "Auto" "congruent" "200" "auditory" "1" 438 956 "correct" "Auto" "3" 0 0 956 0 10
"107" "Auto" "congruent" "200" "auditory" "4" 189 691 "correct" "Auto" "3" 0 0 691 0 10
"108" "Auto" "congruent" "200" "auditory" "12" 85 1130 "correct" "Auto" "1" 0 0 1130 0 10
"109" "Auto" "congruent" "200" "auditory" "10" 238 1222 "correct" "Auto" "3" 0 0 1222 0 10
"110" "Auto" "congruent" "200" "auditory" "7" 418 1018 "correct" "Auto" "3" 0 0 1018 0 10
"111" "Auto" "congruent" "200" "auditory" "14" 434 1110 "correct" "Auto" "3" 0 0 1110 0 10
"112" "Auto" "congruent" "200" "auditory" "24" 133 831 "correct" "Auto" "2" 0 0 831 0 10
"113" "Auto" "congruent" "200" "auditory" "16" 112 963 "correct" "Auto" "1" 0 0 963 0 10
"114" "Auto" "congruent" "200" "auditory" "17" 211 1080 "correct" "Auto" "3" 0 0 1080 0 10
"115" "Auto" "congruent" "200" "auditory" "20" 421 1464 "correct" "Auto" "3" 0 0 1464 0 10
"116" "Auto" "congruent" "200" "auditory" "9" 313 849 "correct" "Auto" "1" 0 0 849 0 10
"117" "Auto" "congruent" "200" "auditory" "13" 288 NA "smack" "Auto" "1" 1 1 728 0 10
"118" "Auto" "congruent" "200" "auditory" "5" 159 985 "correct" "Auto" "2" 0 0 985 0 10
"119" "Auto" "congruent" "200" "auditory" "21" 384 990 "correct" "Auto" "2" 0 0 990 0 10
"120" "Auto" "congruent" "200" "auditory" "8" 368 960 "correct" "Auto" "2" 0 0 960 0 10
"121" "Auto" "congruent" "200" "visual" "22" 316 1841 "correct" "Auto" "1" 0 0 1841 0 10
"122" "Auto" "congruent" "200" "visual" "9" 85 907 "correct" "Auto" "1" 0 0 907 0 10
"123" "Auto" "congruent" "200" "visual" "20" 245 1325 "correct" "Auto" "3" 0 0 1325 0 10
"124" "Auto" "congruent" "200" "visual" "12" 313 1017 "correct" "Auto" "1" 0 0 1017 0 10
"125" "Auto" "congruent" "200" "visual" "23" 421 950 "correct" "Auto" "3" 0 0 950 0 10
"126" "Auto" "congruent" "200" "visual" "15" 179 NA "correct" "Auto" "2" 0 0 1719 1 10
"127" "Auto" "congruent" "200" "visual" "5" 348 993 "correct" "Auto" "2" 0 0 993 0 10
"128" "Auto" "congruent" "200" "visual" "3" 93 734 "correct" "Auto" "1" 0 0 734 0 10
"129" "Auto" "congruent" "200" "visual" "16" 288 959 "correct" "Auto" "1" 0 0 959 0 10
"130" "Auto" "congruent" "200" "visual" "19" 86 1054 "correct" "Auto" "1" 0 0 1054 0 10
"131" "Auto" "congruent" "200" "visual" "2" 159 830 "correct" "Auto" "2" 0 0 830 0 10
"132" "Auto" "congruent" "200" "visual" "1" 189 1401 "correct" "Auto" "3" 0 0 1401 0 10
"133" "Auto" "congruent" "200" "visual" "6" 294 851 "correct" "Auto" "1" 0 0 851 0 10
"134" "Auto" "congruent" "200" "visual" "10" 418 998 "correct" "Auto" "3" 0 0 998 0 10
"135" "Auto" "congruent" "200" "visual" "14" 211 848 "correct" "Auto" "3" 0 0 848 0 10
"136" "Auto" "congruent" "200" "visual" "8" 144 999 "correct" "Auto" "2" 0 0 999 0 10
"137" "Auto" "congruent" "200" "visual" "13" 112 1217 "correct" "Auto" "1" 0 0 1217 0 10
"138" "Auto" "congruent" "200" "visual" "4" 438 795 "correct" "Auto" "3" 0 0 795 0 10
"139" "Auto" "congruent" "200" "visual" "17" 434 1018 "correct" "Auto" "3" 0 0 1018 0 10
"140" "Auto" "congruent" "200" "visual" "18" 339 1021 "correct" "Auto" "2" 0 0 1021 0 10
"141" "Auto" "congruent" "200" "visual" "24" 384 817 "correct" "Auto" "2" 0 0 817 0 10
"142" "Auto" "congruent" "200" "visual" "7" 238 989 "correct" "Auto" "3" 0 0 989 0 10
"143" "Auto" "congruent" "200" "visual" "21" 133 845 "correct" "Auto" "2" 0 0 845 0 10
"144" "Auto" "congruent" "200" "visual" "11" 368 1016 "correct" "Auto" "2" 0 0 1016 0 10
"145" "Auto" "unrelated" "-200" "auditory" "16" 245 1151 "correct" "Schwert" "3" 0 0 1151 0 10
"146" "Auto" "unrelated" "-200" "auditory" "18" 86 1597 "correct" "Schwert" "1" 0 0 1597 0 10
"147" "Auto" "unrelated" "-200" "auditory" "11" 189 806 "correct" "Schwert" "3" 0 0 806 0 10
"148" "Auto" "unrelated" "-200" "auditory" "3" 368 837 "correct" "Schwert" "2" 0 0 837 0 10
"149" "Auto" "unrelated" "-200" "auditory" "1" 313 883 "correct" "Schwert" "1" 0 0 883 0 10
"150" "Auto" "unrelated" "-200" "auditory" "13" 421 979 "correct" "Schwert" "3" 0 0 979 0 10
"151" "Auto" "unrelated" "-200" "auditory" "20" 339 1922 "correct" "Schwert" "2" 0 0 1922 0 10
"152" "Auto" "unrelated" "-200" "auditory" "10" 93 1278 "correct" "Schwert" "1" 0 0 1278 0 10
"153" "Auto" "unrelated" "-200" "auditory" "12" 159 1077 "correct" "Schwert" "2" 0 0 1077 0 10
"154" "Auto" "unrelated" "-200" "auditory" "23" 179 1494 "correct" "Schwert" "2" 0 0 1494 0 10
"155" "Auto" "unrelated" "-200" "auditory" "2" 418 913 "correct" "Schwert" "3" 0 0 913 0 10
"156" "Auto" "unrelated" "-200" "auditory" "5" 238 887 "correct" "Schwert" "3" 0 0 887 0 10
"157" "Auto" "unrelated" "-200" "auditory" "9" 348 785 "correct" "Schwert" "2" 0 0 785 0 10
"158" "Auto" "unrelated" "-200" "auditory" "14" 384 815 "correct" "Schwert" "2" 0 0 815 0 10
"159" "Auto" "unrelated" "-200" "auditory" "17" 133 1063 "correct" "Schwert" "2" 0 0 1063 0 10
"160" "Auto" "unrelated" "-200" "auditory" "7" 294 1118 "correct" "Schwert" "1" 0 0 1118 0 10
"161" "Auto" "unrelated" "-200" "auditory" "21" 288 958 "correct" "Schwert" "1" 0 0 958 0 10
"162" "Auto" "unrelated" "-200" "auditory" "15" 316 982 "correct" "Schwert" "1" 0 0 982 0 10
"163" "Auto" "unrelated" "-200" "auditory" "24" 112 1109 "correct" "Schwert" "1" 0 0 1109 0 10
"164" "Auto" "unrelated" "-200" "auditory" "19" 434 1013 "correct" "Schwert" "3" 0 0 1013 0 10
"165" "Auto" "unrelated" "-200" "auditory" "22" 211 1747 "correct" "Schwert" "3" 0 0 1747 0 10
