"subj" "trial" "RT" "x1" "ERR.code" "eat" "targ" "dist" "soa" "cond" "targ_pos" "dist_pos" "targ_ID" "subset" "dist_ID" "blk" "pl" "occ" "sem.kat" "phon.ons" "LatSq1" "LatSq2" "LatSq3" "LatSq4" "cross.coding1" "cross.coding2" "cross.coding3" "cross.coding4" "cross.coding5" "ver"
"1" 1 3 660 "/" 0 "sonafam1" "Katze___.bmp" "w_Katze_.bmp" 0 1 0 0 18 1 18 0 0 0 1 9 1 NA NA NA NA NA NA NA NA NA
"2" 1 4 433 "/" 0 "sonafam1" "Fahrra__.bmp" "w_Fahrra.bmp" 0 1 0 0 9 1 9 0 0 0 2 6 1 NA NA NA NA NA NA NA NA NA
"3" 1 5 512 "/" 0 "sonafam1" "Kanone__.bmp" "w_Kanone.bmp" 0 1 0 0 92 9 92 0 0 0 7 9 1 NA NA NA NA NA NA NA NA NA
"4" 1 6 475 "/" 0 "sonafam1" "Harfe___.bmp" "w_Harfe_.bmp" 0 1 0 0 16 1 16 0 0 0 5 8 1 NA NA NA NA NA NA NA NA NA
"5" 1 7 608 "/" 0 "sonafam1" "Pistol__.bmp" "w_Pistol.bmp" 0 1 0 0 94 9 94 0 0 0 7 16 1 NA NA NA NA NA NA NA NA NA
"6" 1 8 540 "/" 0 "sonafam1" "Hammer__.bmp" "w_Hammer.bmp" 0 1 0 0 15 1 15 0 0 0 4 8 1 NA NA NA NA NA NA NA NA NA
"7" 1 9 704 "/" 0 "sonafam1" "Grille__.bmp" "w_Grille.bmp" 0 1 0 0 91 9 91 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA
"8" 1 10 401 "/" 0 "sonafam1" "Telefo__.bmp" "w_Telefo.bmp" 0 1 0 0 97 9 97 0 0 0 6 14 1 NA NA NA NA NA NA NA NA NA
"9" 1 11 422 "/" 0 "sonafam1" "Pferd___.bmp" "w_Pferd_.bmp" 0 1 0 0 23 1 23 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA
"10" 1 12 611 "/" 0 "sonafam1" "Glocke__.bmp" "w_Glocke.bmp" 0 1 0 0 13 1 13 0 0 0 6 7 1 NA NA NA NA NA NA NA NA NA
"11" 1 13 629 "/" 0 "sonafam1" "Toilet__.bmp" "w_Toilet.bmp" 0 1 0 0 95 9 95 0 0 0 8 14 1 NA NA NA NA NA NA NA NA NA
"12" 1 14 506 "/" 0 "sonafam1" "Frosch__.bmp" "w_Frosch.bmp" 0 1 0 0 90 9 90 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA
"13" 1 15 470 "/" 0 "sonafam1" "Trompe__.bmp" "w_Trompe.bmp" 0 1 0 0 31 1 31 0 0 0 5 14 1 NA NA NA NA NA NA NA NA NA
"14" 1 16 503 "/" 0 "sonafam1" "Elefan__.bmp" "w_Elefan.bmp" 0 1 0 0 6 1 6 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA
"15" 1 17 523 "/" 0 "sonafam1" "Zug_____.bmp" "w_Zug___.bmp" 0 1 0 0 32 1 32 0 0 0 2 15 1 NA NA NA NA NA NA NA NA NA
"16" 1 18 564 "/" 0 "sonafam1" "Hahn____.bmp" "w_Hahn__.bmp" 0 1 0 0 14 1 14 0 0 0 1 8 1 NA NA NA NA NA NA NA NA NA
"17" 1 19 433 "/" 0 "sonafam1" "Gitarr__.bmp" "w_Gitarr.bmp" 0 1 0 0 12 1 12 0 0 0 5 7 1 NA NA NA NA NA NA NA NA NA
"18" 1 20 563 "/" 0 "sonafam1" "Hubsch__.bmp" "w_Hubsch.bmp" 0 1 0 0 96 9 96 0 0 0 2 8 1 NA NA NA NA NA NA NA NA NA
"19" 1 21 435 "/" 0 "sonafam1" "Orgel___.bmp" "w_Orgel_.bmp" 0 1 0 0 22 1 22 0 0 0 5 11 1 NA NA NA NA NA NA NA NA NA
"20" 1 22 455 "/" 0 "sonafam1" "Besen___.bmp" "w_Besen_.bmp" 0 1 0 0 3 1 3 0 0 0 3 3 1 NA NA NA NA NA NA NA NA NA
"21" 1 23 503 "/" 0 "sonafam1" "Schaf___.bmp" "w_Schaf_.bmp" 0 1 0 0 25 1 25 0 0 0 1 13 1 NA NA NA NA NA NA NA NA NA
"22" 1 24 704 "/" 0 "sonafam1" "Pfeife__.bmp" "w_Pfeife.bmp" 0 1 0 0 93 9 93 0 0 0 6 6 1 NA NA NA NA NA NA NA NA NA
"23" 1 25 417 "/" 0 "sonafam1" "Kuh_____.bmp" "w_Kuh___.bmp" 0 1 0 0 20 1 20 0 0 0 1 9 1 NA NA NA NA NA NA NA NA NA
"24" 1 26 385 "/" 0 "sonafam1" "Schere__.bmp" "w_Schere.bmp" 0 1 0 0 26 1 26 0 0 0 4 13 1 NA NA NA NA NA NA NA NA NA
"25" 1 29 809 "/" 0 "sonafam2" "Glocke__.bmp" "w_______.bmp" 0 1 0 0 13 1 13 0 0 0 6 7 1 NA NA NA NA NA NA NA NA NA
"26" 1 30 775 "/" 0 "sonafam2" "Schaf___.bmp" "w_______.bmp" 0 1 0 0 25 1 25 0 0 0 1 13 1 NA NA NA NA NA NA NA NA NA
"27" 1 31 710 "/" 0 "sonafam2" "Pistol__.bmp" "w_______.bmp" 0 1 0 0 94 9 94 0 0 0 7 16 1 NA NA NA NA NA NA NA NA NA
"28" 1 32 701 "/" 0 "sonafam2" "Hubsch__.bmp" "w_______.bmp" 0 1 0 0 96 9 96 0 0 0 2 8 1 NA NA NA NA NA NA NA NA NA
"29" 1 33 668 "/" 0 "sonafam2" "Frosch__.bmp" "w_______.bmp" 0 1 0 0 90 9 90 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA
"30" 1 34 690 "/" 0 "sonafam2" "Orgel___.bmp" "w_______.bmp" 0 1 0 0 22 1 22 0 0 0 5 11 1 NA NA NA NA NA NA NA NA NA
"31" 1 35 793 "/" 0 "sonafam2" "Hahn____.bmp" "w_______.bmp" 0 1 0 0 14 1 14 0 0 0 1 8 1 NA NA NA NA NA NA NA NA NA
"32" 1 36 780 "/" 0 "sonafam2" "Toilet__.bmp" "w_______.bmp" 0 1 0 0 95 9 95 0 0 0 8 14 1 NA NA NA NA NA NA NA NA NA
"33" 1 37 3000 "-" 1 "sonafam2" "Harfe___.bmp" "w_______.bmp" 0 1 0 0 16 1 16 0 0 0 5 8 1 NA NA NA NA NA NA NA NA NA
"34" 1 38 581 "/" 0 "sonafam2" "Elefan__.bmp" "w_______.bmp" 0 1 0 0 6 1 6 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA
"35" 1 39 663 "/" 0 "sonafam2" "Telefo__.bmp" "w_______.bmp" 0 1 0 0 97 9 97 0 0 0 6 14 1 NA NA NA NA NA NA NA NA NA
"36" 1 40 826 "/" 0 "sonafam2" "Kuh_____.bmp" "w_______.bmp" 0 1 0 0 20 1 20 0 0 0 1 9 1 NA NA NA NA NA NA NA NA NA
"37" 1 41 598 "/" 0 "sonafam2" "Trompe__.bmp" "w_______.bmp" 0 1 0 0 31 1 31 0 0 0 5 14 1 NA NA NA NA NA NA NA NA NA
"38" 1 42 804 "/" 0 "sonafam2" "Besen___.bmp" "w_______.bmp" 0 1 0 0 3 1 3 0 0 0 3 3 1 NA NA NA NA NA NA NA NA NA
"39" 1 43 687 "/" 0 "sonafam2" "Fahrra__.bmp" "w_______.bmp" 0 1 0 0 9 1 9 0 0 0 2 6 1 NA NA NA NA NA NA NA NA NA
"40" 1 44 12 "/" 3 "sonafam2" "Grille__.bmp" "w_______.bmp" 0 1 0 0 91 9 91 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA
"41" 1 45 701 "/" 0 "sonafam2" "Hammer__.bmp" "w_______.bmp" 0 1 0 0 15 1 15 0 0 0 4 8 1 NA NA NA NA NA NA NA NA NA
"42" 1 46 653 "/" 0 "sonafam2" "Gitarr__.bmp" "w_______.bmp" 0 1 0 0 12 1 12 0 0 0 5 7 1 NA NA NA NA NA NA NA NA NA
"43" 1 47 750 "/" 0 "sonafam2" "Pferd___.bmp" "w_______.bmp" 0 1 0 0 23 1 23 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA
"44" 1 48 637 "/" 0 "sonafam2" "Kanone__.bmp" "w_______.bmp" 0 1 0 0 92 9 92 0 0 0 7 9 1 NA NA NA NA NA NA NA NA NA
"45" 1 49 720 "/" 0 "sonafam2" "Pfeife__.bmp" "w_______.bmp" 0 1 0 0 93 9 93 0 0 0 6 6 1 NA NA NA NA NA NA NA NA NA
"46" 1 50 674 "/" 0 "sonafam2" "Katze___.bmp" "w_______.bmp" 0 1 0 0 18 1 18 0 0 0 1 9 1 NA NA NA NA NA NA NA NA NA
"47" 1 51 689 "/" 0 "sonafam2" "Zug_____.bmp" "w_______.bmp" 0 1 0 0 32 1 32 0 0 0 2 15 1 NA NA NA NA NA NA NA NA NA
"48" 1 52 735 "/" 0 "sonafam2" "Schere__.bmp" "w_______.bmp" 0 1 0 0 26 1 26 0 0 0 4 13 1 NA NA NA NA NA NA NA NA NA
"49" 1 55 1381 "/" 3 "sonatst" "Pfeife_g.bmp" "Hubsch__.bmp" -200 6 332 372 93 9 96 0 0 0 6 6 2 1 NA NA NA NA NA NA NA NA
"50" 1 56 660 "/" 0 "sonatst" "Toilet_g.bmp" "Toilet__.bmp" -200 1 372 332 95 9 95 0 0 0 8 14 2 1 NA NA NA NA NA NA NA NA
"51" 1 57 943 "/" 0 "sonatst" "Grille_g.bmp" "Kanone__.bmp" -200 6 372 332 91 9 92 0 0 0 1 7 2 1 NA NA NA NA NA NA NA NA
"52" 1 58 797 "/" 0 "sonatst" "Frosch_g.bmp" "Hubsch__.bmp" -200 3 332 372 90 9 96 0 0 0 1 6 2 1 NA NA NA NA NA NA NA NA
"53" 1 59 1043 "/" 0 "sonatst" "Telefo_g.bmp" "Telefo__.bmp" -200 1 372 332 97 9 97 0 0 0 6 14 2 1 NA NA NA NA NA NA NA NA
"54" 1 60 722 "/" 0 "sonatst" "Kanone_g.bmp" "Frosch__.bmp" -200 5 332 372 92 9 90 0 0 0 7 9 2 1 NA NA NA NA NA NA NA NA
"55" 1 61 719 "/" 0 "sonatst" "Toilet_g.bmp" "Grille__.bmp" -200 3 332 372 95 9 91 0 0 0 8 14 2 1 NA NA NA NA NA NA NA NA
"56" 1 62 769 "/" 0 "sonatst" "Pfeife_g.bmp" "Pistol__.bmp" -200 3 372 332 93 9 94 0 0 0 6 6 2 1 NA NA NA NA NA NA NA NA
"57" 1 63 800 "/" 0 "sonatst" "Kanone_g.bmp" "Kanone__.bmp" -200 1 372 332 92 9 92 0 0 0 7 9 2 1 NA NA NA NA NA NA NA NA
"58" 1 64 798 "/" 0 "sonatst" "Grille_g.bmp" "Pistol__.bmp" -200 5 332 372 91 9 94 0 0 0 1 7 2 1 NA NA NA NA NA NA NA NA
"59" 1 65 861 "/" 0 "sonatst" "Frosch_g.bmp" "Telefo__.bmp" -200 6 372 332 90 9 97 0 0 0 1 6 2 1 NA NA NA NA NA NA NA NA
"60" 1 66 1395 "/" 0 "sonatst" "Hubsch_g.bmp" "Grille__.bmp" -200 5 332 372 96 9 91 0 0 0 2 8 2 1 NA NA NA NA NA NA NA NA
