"targ_ID" "rel" "rtd" "soa" "subj" "trial" "RT" "ERR.code" "dist_ID" "blk" "ERR.old" "ERR" "RT.old" "out" "exp"
"1" "Affe" "congruent" "related" "-200" "24" 141 475 "correct" "Affe" "2" 0 0 475 0 7
"2" "Affe" "congruent" "related" "-200" "21" 78 NA "correct" "Affe" "1" 0 0 1163 1 7
"3" "Affe" "congruent" "related" "-200" "23" 155 604 "correct" "Affe" "2" 0 0 604 0 7
"4" "Affe" "congruent" "related" "-200" "6" 108 669 "correct" "Affe" "1" 0 0 669 0 7
"5" "Affe" "congruent" "related" "-200" "15" 164 720 "correct" "Affe" "2" 0 0 720 0 7
"6" "Affe" "congruent" "related" "-200" "14" 113 673 "correct" "Affe" "1" 0 0 673 0 7
"7" "Affe" "congruent" "related" "-200" "5" 80 564 "correct" "Affe" "1" 0 0 564 0 7
"8" "Affe" "congruent" "related" "-200" "8" 151 528 "correct" "Affe" "2" 0 0 528 0 7
"9" "Affe" "congruent" "related" "-200" "22" 110 643 "correct" "Affe" "1" 0 0 643 0 7
"10" "Affe" "congruent" "related" "-200" "13" 79 485 "correct" "Affe" "1" 0 0 485 0 7
"11" "Affe" "congruent" "related" "-200" "16" 139 588 "correct" "Affe" "2" 0 0 588 0 7
"12" "Affe" "congruent" "related" "-200" "7" 156 624 "correct" "Affe" "2" 0 0 624 0 7
"13" "Affe" "congruent" "related" "0" "8" 97 518 "correct" "Affe" "1" 0 0 518 0 7
"14" "Affe" "congruent" "related" "0" "5" 177 546 "correct" "Affe" "2" 0 0 546 0 7
"15" "Affe" "congruent" "related" "0" "15" 122 771 "correct" "Affe" "1" 0 0 771 0 7
"16" "Affe" "congruent" "related" "0" "7" 127 607 "correct" "Affe" "1" 0 0 607 0 7
"17" "Affe" "congruent" "related" "0" "14" 197 589 "correct" "Affe" "2" 0 0 589 0 7
"18" "Affe" "congruent" "related" "0" "6" 195 807 "correct" "Affe" "2" 0 0 807 0 7
"19" "Affe" "congruent" "related" "0" "21" 171 869 "correct" "Affe" "2" 0 0 869 0 7
