"targ_ID" "cond" "soa" "subj" "trial" "RT" "ERR.code" "dist_ID" "blk" "ERR.old" "ERR" "RT.old" "out" "exp"
"1" "Affe" "congruent" "-200" "5" 335 497 "correct" "Affe" "2" 0 0 497 0 5
"2" "Affe" "congruent" "-200" "2" 189 868 "correct" "Affe" "1" 0 0 868 0 5
"3" "Affe" "congruent" "-200" "24" 262 487 "correct" "Affe" "2" 0 0 487 0 5
"4" "Affe" "congruent" "-200" "7" 274 522 "correct" "Affe" "2" 0 0 522 0 5
"5" "Affe" "congruent" "-200" "23" 288 535 "correct" "Affe" "2" 0 0 535 0 5
"6" "Affe" "congruent" "-200" "17" 104 737 "correct" "Affe" "1" 0 0 737 0 5
"7" "Affe" "congruent" "-200" "6" 362 864 "correct" "Affe" "2" 0 0 864 0 5
"8" "Affe" "congruent" "-200" "9" 134 598 "correct" "Affe" "1" 0 0 598 0 5
"9" "Affe" "congruent" "-200" "13" 329 607 "correct" "Affe" "2" 0 0 607 0 5
"10" "Affe" "congruent" "-200" "19" 230 575 "correct" "Affe" "1" 0 0 575 0 5
"11" "Affe" "congruent" "-200" "4" 153 520 "correct" "Affe" "1" 0 0 520 0 5
"12" "Affe" "congruent" "-200" "16" 259 500 "correct" "Affe" "2" 0 0 500 0 5
"13" "Affe" "congruent" "-200" "10" 172 464 "correct" "Affe" "1" 0 0 464 0 5
"14" "Affe" "congruent" "-200" "1" 123 590 "correct" "Affe" "1" 0 0 590 0 5
"15" "Affe" "congruent" "-200" "3" 224 694 "correct" "Affe" "1" 0 0 694 0 5
"16" "Affe" "congruent" "-200" "15" 277 518 "correct" "Affe" "2" 0 0 518 0 5
"17" "Affe" "congruent" "-200" "11" 213 666 "correct" "Affe" "1" 0 0 666 0 5
"18" "Affe" "congruent" "-200" "22" 359 496 "correct" "Affe" "2" 0 0 496 0 5
"19" "Affe" "congruent" "-200" "20" 153 610 "correct" "Affe" "1" 0 0 610 0 5
"20" "Affe" "congruent" "-200" "8" 242 659 "correct" "Affe" "2" 0 0 659 0 5
"21" "Affe" "congruent" "-200" "12" 141 NA "none/false" "Affe" "1" 1 1 3000 0 5
"22" "Affe" "congruent" "-200" "18" 198 463 "correct" "Affe" "1" 0 0 463 0 5
