"targ_ID" "cond" "soa" "mod" "subj" "trial" "RT" "ERR.code" "dist_ID" "blk" "ERR.old" "ERR" "RT.old" "out" "exp"
"1" "Auto" "congruent" "-200" "auditory" "12" 144 649 "correct" "Auto" "2" 0 0 649 0 9
"2" "Auto" "congruent" "-200" "auditory" "11" 238 1344 "correct" "Auto" "3" 0 0 1344 0 9
"3" "Auto" "congruent" "-200" "auditory" "17" 179 816 "correct" "Auto" "2" 0 0 816 0 9
"4" "Auto" "congruent" "-200" "auditory" "5" 189 758 "correct" "Auto" "3" 0 0 758 0 9
"5" "Auto" "congruent" "-200" "auditory" "1" 294 721 "correct" "Auto" "1" 0 0 721 0 9
"6" "Auto" "congruent" "-200" "auditory" "7" 313 853 "correct" "Auto" "1" 0 0 853 0 9
"7" "Auto" "congruent" "-200" "auditory" "3" 348 759 "correct" "Auto" "2" 0 0 759 0 9
"8" "Auto" "congruent" "-200" "auditory" "10" 85 793 "correct" "Auto" "1" 0 0 793 0 9
"9" "Auto" "congruent" "-200" "auditory" "13" 434 672 "correct" "Auto" "3" 0 0 672 0 9
"10" "Auto" "congruent" "-200" "auditory" "6" 159 686 "correct" "Auto" "2" 0 0 686 0 9
"11" "Auto" "congruent" "-200" "auditory" "18" 112 986 "correct" "Auto" "1" 0 0 986 0 9
"12" "Auto" "congruent" "-200" "auditory" "8" 418 414 "correct" "Auto" "3" 0 0 414 0 9
"13" "Auto" "congruent" "-200" "auditory" "19" 421 618 "correct" "Auto" "3" 0 0 618 0 9
"14" "Auto" "congruent" "-200" "auditory" "16" 211 667 "correct" "Auto" "3" 0 0 667 0 9
"15" "Auto" "congruent" "-200" "auditory" "22" 245 NA "disfluency" "Auto" "3" 1 1 555 0 9
"16" "Auto" "congruent" "-200" "auditory" "2" 438 673 "correct" "Auto" "3" 0 0 673 0 9
"17" "Auto" "congruent" "-200" "auditory" "24" 86 655 "correct" "Auto" "1" 0 0 655 0 9
"18" "Auto" "congruent" "-200" "auditory" "21" 316 524 "correct" "Auto" "1" 0 0 524 0 9
"19" "Auto" "congruent" "-200" "auditory" "20" 384 650 "correct" "Auto" "2" 0 0 650 0 9
"20" "Auto" "congruent" "-200" "auditory" "23" 133 NA "none/false" "Auto" "2" 1 1 659 0 9
"21" "Auto" "congruent" "-200" "auditory" "4" 93 822 "correct" "Auto" "1" 0 0 822 0 9
"22" "Auto" "congruent" "-200" "auditory" "15" 288 NA "disfluency" "Auto" "1" 1 1 714 0 9
"23" "Auto" "congruent" "-200" "auditory" "14" 339 669 "correct" "Auto" "2" 0 0 669 0 9
"24" "Auto" "congruent" "-200" "auditory" "9" 368 774 "correct" "Auto" "2" 0 0 774 0 9
"25" "Auto" "congruent" "-200" "visual" "6" 348 615 "correct" "Auto" "2" 0 0 615 0 9
"26" "Auto" "congruent" "-200" "visual" "3" 159 616 "correct" "Auto" "2" 0 0 616 0 9
"27" "Auto" "congruent" "-200" "visual" "21" 86 531 "correct" "Auto" "1" 0 0 531 0 9
"28" "Auto" "congruent" "-200" "visual" "18" 288 745 "correct" "Auto" "1" 0 0 745 0 9
"29" "Auto" "congruent" "-200" "visual" "2" 189 817 "correct" "Auto" "3" 0 0 817 0 9
