"targ_ID" "cond" "subj" "trial" "RT" "ERR.code" "dist_ID" "blk" "ERR.old" "ERR" "RT.old" "out" "exp"
"1" "Affe" "semantic_form" "13" 179 852 "correct" "Kuh" "1" 0 0 852 0 8
"2" "Affe" "semantic_form" "11" 347 717 "correct" "Kuh" "4" 0 0 717 0 8
"3" "Affe" "semantic_form" "22" 150 703 "correct" "Kuh" "1" 0 0 703 0 8
"4" "Affe" "semantic_form" "17" 263 686 "correct" "Kuh" "2" 0 0 686 0 8
"5" "Affe" "semantic_form" "14" 144 844 "correct" "Kuh" "1" 0 0 844 0 8
"6" "Affe" "semantic_form" "23" 289 786 "correct" "Kuh" "3" 0 0 786 0 8
"7" "Affe" "semantic_form" "16" 223 794 "correct" "Kuh" "2" 0 0 794 0 8
"8" "Affe" "semantic_form" "5" 253 NA "correct" "Kuh" "2" 0 0 593 1 8
"9" "Affe" "semantic_form" "1" 255 762 "correct" "Kuh" "2" 0 0 762 0 8
"10" "Affe" "semantic_form" "8" 232 696 "correct" "Kuh" "2" 0 0 696 0 8
"11" "Affe" "semantic_form" "13" 273 844 "correct" "Kuh" "2" 0 0 844 0 8
"12" "Affe" "semantic_form" "10" 166 726 "correct" "Kuh" "1" 0 0 726 0 8
"13" "Affe" "semantic_form" "4" 220 726 "correct" "Kuh" "2" 0 0 726 0 8
"14" "Affe" "semantic_form" "2" 321 767 "correct" "Kuh" "3" 0 0 767 0 8
"15" "Affe" "semantic_form" "24" 393 768 "correct" "Kuh" "4" 0 0 768 0 8
"16" "Affe" "semantic_form" "3" 301 784 "correct" "Kuh" "3" 0 0 784 0 8
"17" "Affe" "semantic_form" "17" 182 720 "correct" "Kuh" "1" 0 0 720 0 8
"18" "Affe" "semantic_form" "16" 384 877 "correct" "Kuh" "4" 0 0 877 0 8
"19" "Affe" "semantic_form" "23" 366 746 "correct" "Kuh" "4" 0 0 746 0 8
"20" "Affe" "semantic_form" "8" 407 772 "correct" "Kuh" "4" 0 0 772 0 8
"21" "Affe" "semantic_form" "7" 292 851 "correct" "Kuh" "3" 0 0 851 0 8
"22" "Affe" "semantic_form" "5" 191 860 "correct" "Kuh" "1" 0 0 860 0 8
"23" "Affe" "semantic_form" "19" 279 707 "correct" "Kuh" "3" 0 0 707 0 8
"24" "Affe" "semantic_form" "22" 312 884 "correct" "Kuh" "3" 0 0 884 0 8
"25" "Affe" "semantic_form" "15" 288 659 "correct" "Kuh" "3" 0 0 659 0 8
"26" "Affe" "semantic_form" "20" 379 753 "correct" "Kuh" "4" 0 0 753 0 8
"27" "Affe" "semantic_form" "6" 318 702 "correct" "Kuh" "3" 0 0 702 0 8
"28" "Affe" "semantic_form" "21" 263 878 "correct" "Kuh" "2" 0 0 878 0 8
"29" "Affe" "semantic_form" "9" 181 860 "correct" "Kuh" "1" 0 0 860 0 8
"30" "Affe" "semantic_form" "18" 332 655 "correct" "Kuh" "3" 0 0 655 0 8
"31" "Affe" "semantic_form" "18" 146 781 "correct" "Kuh" "1" 0 0 781 0 8
"32" "Affe" "semantic_form" "19" 361 685 "correct" "Kuh" "4" 0 0 685 0 8
"33" "Affe" "semantic_form" "12" 242 654 "correct" "Kuh" "2" 0 0 654 0 8
"34" "Affe" "semantic_form" "15" 364 742 "correct" "Kuh" "4" 0 0 742 0 8
"35" "Affe" "semantic_form" "7" 347 781 "correct" "Kuh" "4" 0 0 781 0 8
