"targ_ID" "cond" "soa" "subj" "trial" "RT" "ERR.code" "dist_ID" "blk" "ERR.old" "ERR" "RT.old" "out" "exp"
"1" "Affe" "congruent" "-200" "9" 143 818 "correct" "Affe" "1" 0 0 818 0 1
"2" "Affe" "congruent" "-200" "4" 169 582 "correct" "Affe" "1" 0 0 582 0 1
"3" "Affe" "congruent" "-200" "21" 337 674 "correct" "Affe" "2" 0 0 674 0 1
"4" "Affe" "congruent" "-200" "16" 257 774 "correct" "Affe" "2" 0 0 774 0 1
"5" "Affe" "congruent" "-200" "23" 286 635 "correct" "Affe" "2" 0 0 635 0 1
"6" "Affe" "congruent" "-200" "6" 364 704 "correct" "Affe" "2" 0 0 704 0 1
"7" "Affe" "congruent" "-200" "8" 253 586 "correct" "Affe" "2" 0 0 586 0 1
"8" "Affe" "congruent" "-200" "7" 300 808 "correct" "Affe" "2" 0 0 808 0 1
"9" "Affe" "congruent" "-200" "24" 255 712 "correct" "Affe" "2" 0 0 712 0 1
"10" "Affe" "congruent" "-200" "18" 199 753 "correct" "Affe" "1" 0 0 753 0 1
"11" "Affe" "congruent" "-200" "14" 366 593 "correct" "Affe" "2" 0 0 593 0 1
"12" "Affe" "congruent" "-200" "5" 327 772 "correct" "Affe" "2" 0 0 772 0 1
"13" "Affe" "congruent" "-200" "19" 218 806 "correct" "Affe" "1" 0 0 806 0 1
"14" "Affe" "congruent" "-200" "11" 237 886 "correct" "Affe" "1" 0 0 886 0 1
"15" "Affe" "congruent" "-200" "3" 234 648 "correct" "Affe" "1" 0 0 648 0 1
"16" "Affe" "congruent" "-200" "1" 137 786 "correct" "Affe" "1" 0 0 786 0 1
"17" "Affe" "congruent" "-200" "10" 192 1029 "correct" "Affe" "1" 0 0 1029 0 1
"18" "Affe" "congruent" "-200" "17" 131 767 "correct" "Affe" "1" 0 0 767 0 1
"19" "Affe" "congruent" "-200" "22" 366 833 "correct" "Affe" "2" 0 0 833 0 1
"20" "Affe" "congruent" "-200" "15" 294 886 "correct" "Affe" "2" 0 0 886 0 1
"21" "Affe" "congruent" "-200" "12" 160 752 "correct" "Affe" "1" 0 0 752 0 1
"22" "Affe" "congruent" "-200" "13" 341 660 "correct" "Affe" "2" 0 0 660 0 1
"23" "Affe" "congruent" "-200" "2" 199 709 "correct" "Affe" "1" 0 0 709 0 1
"24" "Affe" "congruent" "-200" "20" 166 777 "correct" "Affe" "1" 0 0 777 0 1
"25" "Affe" "congruent" "0" "20" 255 835 "correct" "Affe" "2" 0 0 835 0 1
"26" "Affe" "congruent" "0" "12" 257 707 "correct" "Affe" "2" 0 0 707 0 1
"27" "Affe" "congruent" "0" "23" 218 792 "correct" "Affe" "1" 0 0 792 0 1
"28" "Affe" "congruent" "0" "9" 341 746 "correct" "Affe" "2" 0 0 746 0 1
"29" "Affe" "congruent" "0" "7" 234 1166 "correct" "Affe" "1" 0 0 1166 0 1
"30" "Affe" "congruent" "0" "19" 286 914 "correct" "Affe" "2" 0 0 914 0 1
"31" "Affe" "congruent" "0" "2" 364 928 "correct" "Affe" "2" 0 0 928 0 1
"32" "Affe" "congruent" "0" "11" 294 NA "correct" "Affe" "2" 0 0 1532 1 1
"33" "Affe" "congruent" "0" "14" 192 726 "correct" "Affe" "1" 0 0 726 0 1
"34" "Affe" "congruent" "0" "21" 131 961 "correct" "Affe" "1" 0 0 961 0 1
"35" "Affe" "congruent" "0" "17" 337 763 "correct" "Affe" "2" 0 0 763 0 1
"36" "Affe" "congruent" "0" "3" 300 816 "correct" "Affe" "2" 0 0 816 0 1
"37" "Affe" "congruent" "0" "16" 160 789 "correct" "Affe" "1" 0 0 789 0 1
"38" "Affe" "congruent" "0" "5" 137 1097 "correct" "Affe" "1" 0 0 1097 0 1
"39" "Affe" "congruent" "0" "22" 199 736 "correct" "Affe" "1" 0 0 736 0 1
"40" "Affe" "congruent" "0" "10" 366 734 "correct" "Affe" "2" 0 0 734 0 1
"41" "Affe" "congruent" "0" "13" 143 867 "correct" "Affe" "1" 0 0 867 0 1
"42" "Affe" "congruent" "0" "1" 327 720 "correct" "Affe" "2" 0 0 720 0 1
"43" "Affe" "congruent" "0" "24" 166 643 "correct" "Affe" "1" 0 0 643 0 1
"44" "Affe" "congruent" "0" "8" 169 856 "correct" "Affe" "1" 0 0 856 0 1
"45" "Affe" "congruent" "0" "15" 237 1088 "correct" "Affe" "1" 0 0 1088 0 1
"46" "Affe" "congruent" "0" "4" 253 717 "correct" "Affe" "2" 0 0 717 0 1
"47" "Affe" "congruent" "0" "6" 199 718 "correct" "Affe" "1" 0 0 718 0 1
"48" "Affe" "congruent" "0" "18" 366 818 "correct" "Affe" "2" 0 0 818 0 1
"49" "Affe" "semantic" "-200" "23" 366 829 "correct" "Kuh" "2" 0 0 829 0 1
"50" "Affe" "semantic" "-200" "20" 218 851 "correct" "Kuh" "1" 0 0 851 0 1
"51" "Affe" "semantic" "-200" "24" 286 932 "correct" "Kuh" "2" 0 0 932 0 1
"52" "Affe" "semantic" "-200" "6" 327 683 "correct" "Kuh" "2" 0 0 683 0 1
"53" "Affe" "semantic" "-200" "10" 143 NA "disfluency" "Kuh" "1" 1 1 3000 0 1
"54" "Affe" "semantic" "-200" "19" 199 1071 "correct" "Kuh" "1" 0 0 1071 0 1
"55" "Affe" "semantic" "-200" "4" 234 1540 "correct" "Kuh" "1" 0 0 1540 0 1
"56" "Affe" "semantic" "-200" "11" 192 943 "correct" "Kuh" "1" 0 0 943 0 1
"57" "Affe" "semantic" "-200" "13" 257 1069 "correct" "Kuh" "2" 0 0 1069 0 1
"58" "Affe" "semantic" "-200" "15" 366 912 "correct" "Kuh" "2" 0 0 912 0 1
"59" "Affe" "semantic" "-200" "21" 255 953 "correct" "Kuh" "2" 0 0 953 0 1
"60" "Affe" "semantic" "-200" "18" 131 1184 "correct" "Kuh" "1" 0 0 1184 0 1
"61" "Affe" "semantic" "-200" "1" 169 1130 "correct" "Kuh" "1" 0 0 1130 0 1
"62" "Affe" "semantic" "-200" "16" 294 916 "correct" "Kuh" "2" 0 0 916 0 1
"63" "Affe" "semantic" "-200" "8" 300 901 "correct" "Kuh" "2" 0 0 901 0 1
"64" "Affe" "semantic" "-200" "5" 253 966 "correct" "Kuh" "2" 0 0 966 0 1
"65" "Affe" "semantic" "-200" "22" 337 1015 "correct" "Kuh" "2" 0 0 1015 0 1
"66" "Affe" "semantic" "-200" "9" 160 1118 "correct" "Kuh" "1" 0 0 1118 0 1
"67" "Affe" "semantic" "-200" "7" 364 900 "correct" "Kuh" "2" 0 0 900 0 1
"68" "Affe" "semantic" "-200" "17" 166 1056 "correct" "Kuh" "1" 0 0 1056 0 1
"69" "Affe" "semantic" "-200" "14" 341 871 "correct" "Kuh" "2" 0 0 871 0 1
"70" "Affe" "semantic" "-200" "2" 137 NA "none/false" "Kuh" "1" 1 1 3000 0 1
"71" "Affe" "semantic" "-200" "12" 237 810 "correct" "Kuh" "1" 0 0 810 0 1
"72" "Affe" "semantic" "-200" "3" 199 814 "correct" "Kuh" "1" 0 0 814 0 1
