"subj" "trial" "RT" "BPR_Resp" "ERR.code" "eat" "targ" "dist" "BPR_dir" "BPR_corrResp" "BPR_pos" "task.soa" "cond" "targ_ID" "subset" "dist_ID" "sem.pair" "blk" "pl" "occ" "sem.kat" "phon.ons" "LatSq1" "LatSq2" "LatSq3" "LatSq4" "cross.coding1" "cross.coding2" "cross.coding3" "cross.coding4" "cross.coding5" "ver"
"1" 1 3 352 "/" "0" "sonafam1" "g_Orgel_.wav" "Orgel___.bmp" "w_Orgel_.bmp" "000" 1 22 1 22 0 0 0 5 11 1 NA NA NA NA NA NA NA NA NA NA NA NA
"2" 1 4 649 "/" "0" "sonafam1" "g_Glocke.wav" "Glocke__.bmp" "w_Glocke.bmp" "000" 1 13 1 13 0 0 0 6 7 1 NA NA NA NA NA NA NA NA NA NA NA NA
"3" 1 5 540 "/" "0" "sonafam1" "g_Katze_.wav" "Katze___.bmp" "w_Katze_.bmp" "000" 1 18 1 18 0 0 0 1 9 1 NA NA NA NA NA NA NA NA NA NA NA NA
"4" 1 6 439 "/" "0" "sonafam1" "g_Gitarr.wav" "Gitarr__.bmp" "w_Gitarr.bmp" "000" 1 12 1 12 0 0 0 5 7 1 NA NA NA NA NA NA NA NA NA NA NA NA
"5" 1 7 511 "/" "0" "sonafam1" "g_Klinge.wav" "Klinge__.bmp" "w_Klinge.bmp" "000" 1 19 2 19 0 0 0 6 9 1 NA NA NA NA NA NA NA NA NA NA NA NA
"6" 1 8 650 "/" "0" "sonafam1" "g_Grille.wav" "Grille__.bmp" "w_Grille.bmp" "000" 1 91 9 91 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA NA NA NA
"7" 1 9 592 "/" "0" "sonafam1" "g_Trompe.wav" "Trompe__.bmp" "w_Trompe.bmp" "000" 1 31 1 31 0 0 0 5 14 1 NA NA NA NA NA NA NA NA NA NA NA NA
"8" 1 10 596 "/" "0" "sonafam1" "g_Hahn__.wav" "Hahn____.bmp" "w_Hahn__.bmp" "000" 1 14 1 14 0 0 0 1 8 1 NA NA NA NA NA NA NA NA NA NA NA NA
"9" 1 11 712 "/" "0" "sonafam1" "g_Saege_.wav" "Saege___.bmp" "w_Saege_.bmp" "000" 1 24 2 24 0 0 0 4 12 1 NA NA NA NA NA NA NA NA NA NA NA NA
"10" 1 12 737 "/" "0" "sonafam1" "g_Pfeife.wav" "Pfeife__.bmp" "w_Pfeife.bmp" "000" 1 93 9 93 0 0 0 6 6 1 NA NA NA NA NA NA NA NA NA NA NA NA
