"subj" "trial" "RT" "BPR_Resp" "ERR.code" "eat" "targ" "dist" "BPR_dir" "BPR_corrResp" "BPR_pos" "task.soa" "cond" "targ_ID" "subset" "dist_ID" "sem.pair" "blk" "pl" "occ" "sem.kat" "phon.ons" "LatSq1" "LatSq2" "LatSq3" "LatSq4" "cross.coding1" "cross.coding2" "cross.coding3" "cross.coding4" "cross.coding5" "ver"
"11" 1 13 645 "/" "0" "sonafam1" "g_Affe__.wav" "Affe____.bmp" "w_Affe__.bmp" "000" 1 1 2 1 0 0 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"12" 1 14 618 "/" "0" "sonafam1" "g_Toilet.wav" "Toilet__.bmp" "w_Toilet.bmp" "000" 1 95 9 95 0 0 0 8 14 1 NA NA NA NA NA NA NA NA NA NA NA NA
"13" 1 15 439 "/" "0" "sonafam1" "g_Schaf_.wav" "Schaf___.bmp" "w_Schaf_.bmp" "000" 1 25 1 25 0 0 0 1 13 1 NA NA NA NA NA NA NA NA NA NA NA NA
"14" 1 16 447 "/" "0" "sonafam1" "g_Hubsch.wav" "Hubsch__.bmp" "w_Hubsch.bmp" "000" 1 96 9 96 0 0 0 2 8 1 NA NA NA NA NA NA NA NA NA NA NA NA
"15" 1 17 510 "/" "0" "sonafam1" "g_Ente__.wav" "Ente____.bmp" "w_Ente__.bmp" "000" 1 7 2 7 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA NA NA NA
"16" 1 18 662 "/" "0" "sonafam1" "g_Geige_.wav" "Geige___.bmp" "w_Geige_.bmp" "000" 1 11 2 11 0 0 0 5 7 1 NA NA NA NA NA NA NA NA NA NA NA NA
"17" 1 19 827 "/" "0" "sonafam1" "g_Esel__.wav" "Esel____.bmp" "w_Esel__.bmp" "000" 1 8 2 8 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA NA NA NA
"18" 1 20 571 "/" "0" "sonafam1" "g_Harfe_.wav" "Harfe___.bmp" "w_Harfe_.bmp" "000" 1 16 1 16 0 0 0 5 8 1 NA NA NA NA NA NA NA NA NA NA NA NA
"19" 1 21 703 "/" "0" "sonafam1" "g_Pferd_.wav" "Pferd___.bmp" "w_Pferd_.bmp" "000" 1 23 1 23 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA NA NA NA
"20" 1 22 547 "/" "0" "sonafam1" "g_Auto__.wav" "Auto____.bmp" "w_Auto__.bmp" "000" 1 2 2 2 0 0 0 2 2 1 NA NA NA NA NA NA NA NA NA NA NA NA
"21" 1 23 551 "/" "0" "sonafam1" "g_Frosch.wav" "Frosch__.bmp" "w_Frosch.bmp" "000" 1 90 9 90 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA NA NA NA
"22" 1 24 831 "/" "0" "sonafam1" "g_Dudels.wav" "Dudels__.bmp" "w_Dudels.bmp" "000" 1 5 2 5 0 0 0 5 4 1 NA NA NA NA NA NA NA NA NA NA NA NA
"23" 1 25 545 "/" "0" "sonafam1" "g_Loewe_.wav" "Loewe___.bmp" "w_Loewe_.bmp" "000" 1 21 2 21 0 0 0 1 10 1 NA NA NA NA NA NA NA NA NA NA NA NA
"24" 1 26 709 "/" "0" "sonafam1" "g_Zug___.wav" "Zug_____.bmp" "w_Zug___.bmp" "000" 1 32 1 32 0 0 0 2 15 1 NA NA NA NA NA NA NA NA NA NA NA NA
"25" 1 27 632 "/" "0" "sonafam1" "g_Kuh___.wav" "Kuh_____.bmp" "w_Kuh___.bmp" "000" 1 20 1 20 0 0 0 1 9 1 NA NA NA NA NA NA NA NA NA NA NA NA
"26" 1 28 561 "/" "0" "sonafam1" "g_Telefo.wav" "Telefo__.bmp" "w_Telefo.bmp" "000" 1 97 9 97 0 0 0 6 14 1 NA NA NA NA NA NA NA NA NA NA NA NA
"27" 1 29 421 "/" "0" "sonafam1" "g_Hund__.wav" "Hund____.bmp" "w_Hund__.bmp" "000" 1 17 2 17 0 0 0 1 8 1 NA NA NA NA NA NA NA NA NA NA NA NA
"28" 1 30 605 "/" "0" "sonafam1" "g_Kanone.wav" "Kanone__.bmp" "w_Kanone.bmp" "000" 1 92 9 92 0 0 0 7 9 1 NA NA NA NA NA NA NA NA NA NA NA NA
"29" 1 31 484 "/" "0" "sonafam1" "g_Schwei.wav" "Schwei__.bmp" "w_Schwei.bmp" "000" 1 28 2 28 0 0 0 1 13 1 NA NA NA NA NA NA NA NA NA NA NA NA
"30" 1 32 568 "/" "0" "sonafam1" "g_Tromme.wav" "Tromme__.bmp" "w_Tromme.bmp" "000" 1 30 2 30 0 0 0 5 14 1 NA NA NA NA NA NA NA NA NA NA NA NA
"31" 1 33 630 "/" "0" "sonafam1" "g_Staubs.wav" "Staubs__.bmp" "w_Staubs.bmp" "000" 1 29 2 29 0 0 0 3 13 1 NA NA NA NA NA NA NA NA NA NA NA NA
"32" 1 34 497 "/" "0" "sonafam1" "g_Hammer.wav" "Hammer__.bmp" "w_Hammer.bmp" "000" 1 15 1 15 0 0 0 4 8 1 NA NA NA NA NA NA NA NA NA NA NA NA
"33" 1 35 836 "/" "0" "sonafam1" "g_Schiff.wav" "Schiff__.bmp" "w_Schiff.bmp" "000" 1 27 2 27 0 0 0 2 13 1 NA NA NA NA NA NA NA NA NA NA NA NA
"34" 1 36 951 "/" "0" "sonafam1" "g_Bohrer.wav" "Bohrer__.bmp" "w_Bohrer.bmp" "000" 1 4 2 4 0 0 0 4 3 1 NA NA NA NA NA NA NA NA NA NA NA NA
"35" 1 37 510 "/" "0" "sonafam1" "g_Fahrra.wav" "Fahrra__.bmp" "w_Fahrra.bmp" "000" 1 9 1 9 0 0 0 2 6 1 NA NA NA NA NA NA NA NA NA NA NA NA
"36" 1 38 683 "/" "0" "sonafam1" "g_Besen_.wav" "Besen___.bmp" "w_Besen_.bmp" "000" 1 3 1 3 0 0 0 3 3 1 NA NA NA NA NA NA NA NA NA NA NA NA
"37" 1 39 523 "/" "0" "sonafam1" "g_Schere.wav" "Schere__.bmp" "w_Schere.bmp" "000" 1 26 1 26 0 0 0 4 13 1 NA NA NA NA NA NA NA NA NA NA NA NA
"38" 1 40 812 "/" "0" "sonafam1" "g_Pistol.wav" "Pistol__.bmp" "w_Pistol.bmp" "000" 1 94 9 94 0 0 0 7 16 1 NA NA NA NA NA NA NA NA NA NA NA NA
"39" 1 41 740 "/" "0" "sonafam1" "g_Floete.wav" "Floete__.bmp" "w_Floete.bmp" "000" 1 10 2 10 0 0 0 5 6 1 NA NA NA NA NA NA NA NA NA NA NA NA
"40" 1 42 648 "/" "0" "sonafam1" "g_Elefan.wav" "Elefan__.bmp" "w_Elefan.bmp" "000" 1 6 1 6 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA NA NA NA
"41" 1 45 797 "/" "0" "sonafam2" "g_Trompe.wav" "Trompe__.bmp" "w_______.bmp" "000" 1 31 1 31 0 0 0 5 14 1 NA NA NA NA NA NA NA NA NA NA NA NA
"42" 1 46 668 "/" "0" "sonafam2" "g_Schaf_.wav" "Schaf___.bmp" "w_______.bmp" "000" 1 25 1 25 0 0 0 1 13 1 NA NA NA NA NA NA NA NA NA NA NA NA
"43" 1 47 786 "/" "0" "sonafam2" "g_Fahrra.wav" "Fahrra__.bmp" "w_______.bmp" "000" 1 9 1 9 0 0 0 2 6 1 NA NA NA NA NA NA NA NA NA NA NA NA
"44" 1 48 737 "/" "0" "sonafam2" "g_Toilet.wav" "Toilet__.bmp" "w_______.bmp" "000" 1 95 9 95 0 0 0 8 14 1 NA NA NA NA NA NA NA NA NA NA NA NA
"45" 1 49 756 "/" "0" "sonafam2" "g_Gitarr.wav" "Gitarr__.bmp" "w_______.bmp" "000" 1 12 1 12 0 0 0 5 7 1 NA NA NA NA NA NA NA NA NA NA NA NA
"46" 1 50 664 "/" "0" "sonafam2" "g_Esel__.wav" "Esel____.bmp" "w_______.bmp" "000" 1 8 2 8 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA NA NA NA
"47" 1 51 599 "/" "0" "sonafam2" "g_Tromme.wav" "Tromme__.bmp" "w_______.bmp" "000" 1 30 2 30 0 0 0 5 14 1 NA NA NA NA NA NA NA NA NA NA NA NA
"48" 1 52 605 "/" "0" "sonafam2" "g_Auto__.wav" "Auto____.bmp" "w_______.bmp" "000" 1 2 2 2 0 0 0 2 2 1 NA NA NA NA NA NA NA NA NA NA NA NA
"49" 1 53 728 "/" "0" "sonafam2" "g_Orgel_.wav" "Orgel___.bmp" "w_______.bmp" "000" 1 22 1 22 0 0 0 5 11 1 NA NA NA NA NA NA NA NA NA NA NA NA
"50" 1 54 726 "/" "0" "sonafam2" "g_Loewe_.wav" "Loewe___.bmp" "w_______.bmp" "000" 1 21 2 21 0 0 0 1 10 1 NA NA NA NA NA NA NA NA NA NA NA NA
"51" 1 55 938 "/" "0" "sonafam2" "g_Pistol.wav" "Pistol__.bmp" "w_______.bmp" "000" 1 94 9 94 0 0 0 7 16 1 NA NA NA NA NA NA NA NA NA NA NA NA
"52" 1 56 1491 "/" "0" "sonafam2" "g_Ente__.wav" "Ente____.bmp" "w_______.bmp" "000" 1 7 2 7 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA NA NA NA
"53" 1 57 779 "/" "0" "sonafam2" "g_Telefo.wav" "Telefo__.bmp" "w_______.bmp" "000" 1 97 9 97 0 0 0 6 14 1 NA NA NA NA NA NA NA NA NA NA NA NA
"54" 1 58 563 "/" "0" "sonafam2" "g_Hund__.wav" "Hund____.bmp" "w_______.bmp" "000" 1 17 2 17 0 0 0 1 8 1 NA NA NA NA NA NA NA NA NA NA NA NA
"55" 1 59 713 "/" "0" "sonafam2" "g_Saege_.wav" "Saege___.bmp" "w_______.bmp" "000" 1 24 2 24 0 0 0 4 12 1 NA NA NA NA NA NA NA NA NA NA NA NA
"56" 1 60 709 "/" "0" "sonafam2" "g_Elefan.wav" "Elefan__.bmp" "w_______.bmp" "000" 1 6 1 6 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA NA NA NA
"57" 1 61 815 "/" "0" "sonafam2" "g_Pfeife.wav" "Pfeife__.bmp" "w_______.bmp" "000" 1 93 9 93 0 0 0 6 6 1 NA NA NA NA NA NA NA NA NA NA NA NA
"58" 1 62 764 "/" "0" "sonafam2" "g_Hahn__.wav" "Hahn____.bmp" "w_______.bmp" "000" 1 14 1 14 0 0 0 1 8 1 NA NA NA NA NA NA NA NA NA NA NA NA
"59" 1 63 750 "/" "0" "sonafam2" "g_Staubs.wav" "Staubs__.bmp" "w_______.bmp" "000" 1 29 2 29 0 0 0 3 13 1 NA NA NA NA NA NA NA NA NA NA NA NA
"60" 1 64 773 "/" "0" "sonafam2" "g_Kuh___.wav" "Kuh_____.bmp" "w_______.bmp" "000" 1 20 1 20 0 0 0 1 9 1 NA NA NA NA NA NA NA NA NA NA NA NA
"61" 1 65 781 "/" "0" "sonafam2" "g_Zug___.wav" "Zug_____.bmp" "w_______.bmp" "000" 1 32 1 32 0 0 0 2 15 1 NA NA NA NA NA NA NA NA NA NA NA NA
"62" 1 66 643 "/" "0" "sonafam2" "g_Schwei.wav" "Schwei__.bmp" "w_______.bmp" "000" 1 28 2 28 0 0 0 1 13 1 NA NA NA NA NA NA NA NA NA NA NA NA
"63" 1 67 681 "/" "0" "sonafam2" "g_Dudels.wav" "Dudels__.bmp" "w_______.bmp" "000" 1 5 2 5 0 0 0 5 4 1 NA NA NA NA NA NA NA NA NA NA NA NA
"64" 1 68 647 "/" "0" "sonafam2" "g_Affe__.wav" "Affe____.bmp" "w_______.bmp" "000" 1 1 2 1 0 0 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"65" 1 69 1293 "/" "0" "sonafam2" "g_Floete.wav" "Floete__.bmp" "w_______.bmp" "000" 1 10 2 10 0 0 0 5 6 1 NA NA NA NA NA NA NA NA NA NA NA NA
"66" 1 70 699 "/" "0" "sonafam2" "g_Katze_.wav" "Katze___.bmp" "w_______.bmp" "000" 1 18 1 18 0 0 0 1 9 1 NA NA NA NA NA NA NA NA NA NA NA NA
"67" 1 71 658 "/" "0" "sonafam2" "g_Hubsch.wav" "Hubsch__.bmp" "w_______.bmp" "000" 1 96 9 96 0 0 0 2 8 1 NA NA NA NA NA NA NA NA NA NA NA NA
"68" 1 72 753 "/" "0" "sonafam2" "g_Geige_.wav" "Geige___.bmp" "w_______.bmp" "000" 1 11 2 11 0 0 0 5 7 1 NA NA NA NA NA NA NA NA NA NA NA NA
"69" 1 73 847 "/" "0" "sonafam2" "g_Schiff.wav" "Schiff__.bmp" "w_______.bmp" "000" 1 27 2 27 0 0 0 2 13 1 NA NA NA NA NA NA NA NA NA NA NA NA
"70" 1 74 689 "/" "0" "sonafam2" "g_Harfe_.wav" "Harfe___.bmp" "w_______.bmp" "000" 1 16 1 16 0 0 0 5 8 1 NA NA NA NA NA NA NA NA NA NA NA NA
"71" 1 75 821 "/" "0" "sonafam2" "g_Klinge.wav" "Klinge__.bmp" "w_______.bmp" "000" 1 19 2 19 0 0 0 6 9 1 NA NA NA NA NA NA NA NA NA NA NA NA
"72" 1 76 715 "/" "0" "sonafam2" "g_Besen_.wav" "Besen___.bmp" "w_______.bmp" "000" 1 3 1 3 0 0 0 3 3 1 NA NA NA NA NA NA NA NA NA NA NA NA
"73" 1 77 649 "/" "0" "sonafam2" "g_Glocke.wav" "Glocke__.bmp" "w_______.bmp" "000" 1 13 1 13 0 0 0 6 7 1 NA NA NA NA NA NA NA NA NA NA NA NA
"74" 1 78 664 "/" "0" "sonafam2" "g_Frosch.wav" "Frosch__.bmp" "w_______.bmp" "000" 1 90 9 90 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA NA NA NA
"75" 1 79 622 "/" "0" "sonafam2" "g_Schere.wav" "Schere__.bmp" "w_______.bmp" "000" 1 26 1 26 0 0 0 4 13 1 NA NA NA NA NA NA NA NA NA NA NA NA
"76" 1 80 3000 "-" "1" "sonafam2" "g_Grille.wav" "Grille__.bmp" "w_______.bmp" "000" 1 91 9 91 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA NA NA NA
"77" 1 81 822 "/" "1" "sonafam2" "g_Bohrer.wav" "Bohrer__.bmp" "w_______.bmp" "000" 1 4 2 4 0 0 0 4 3 1 NA NA NA NA NA NA NA NA NA NA NA NA
"78" 1 82 868 "/" "0" "sonafam2" "g_Kanone.wav" "Kanone__.bmp" "w_______.bmp" "000" 1 92 9 92 0 0 0 7 9 1 NA NA NA NA NA NA NA NA NA NA NA NA
"79" 1 83 613 "/" "0" "sonafam2" "g_Hammer.wav" "Hammer__.bmp" "w_______.bmp" "000" 1 15 1 15 0 0 0 4 8 1 NA NA NA NA NA NA NA NA NA NA NA NA
"80" 1 84 690 "/" "0" "sonafam2" "g_Pferd_.wav" "Pferd___.bmp" "w_______.bmp" "000" 1 23 1 23 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA NA NA NA
"81" 1 87 584 "<" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"82" 1 87 808 "/" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"83" 1 88 889 "<" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"84" 1 88 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"85" 1 89 389 "<" "-" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"86" 1 89 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"87" 1 90 492 ">" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"88" 1 90 703 "/" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"89" 1 91 455 ">" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"90" 1 91 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"91" 1 92 555 "<" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"92" 1 92 751 "/" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"93" 1 93 402 ">" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"94" 1 93 572 "/" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"95" 1 94 631 ">" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"96" 1 94 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"97" 1 95 368 "<" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"98" 1 95 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 312 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"99" 1 96 336 ">" "-" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"100" 1 96 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"101" 1 97 491 ">" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"102" 1 97 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "rechts__.bmp" ">" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"103" 1 98 573 "<" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"104" 1 98 785 "/" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "links___.bmp" "<" 672 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"105" 1 101 1811 "/" "0" "sonaPRP" "g_Pfeife.wav" "Hubsch__.bmp" "blank___.bmp" "-" 0 0 6 93 9 96 0 0 0 6 6 1 NA NA NA NA NA NA NA NA NA NA
"106" 1 102 761 "/" "0" "sonaPRP" "g_Toilet.wav" "Toilet__.bmp" "blank___.bmp" "-" 0 0 1 95 9 95 0 0 0 8 14 1 NA NA NA NA NA NA NA NA NA NA
"107" 1 103 1690 "/" "0" "sonaPRP" "g_Grille.wav" "Kanone__.bmp" "blank___.bmp" "-" 0 0 6 91 9 92 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA NA
"108" 1 104 928 "/" "0" "sonaPRP" "g_Frosch.wav" "Hubsch__.bmp" "blank___.bmp" "-" 0 0 3 90 9 96 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA NA
"109" 1 105 819 "/" "0" "sonaPRP" "g_Telefo.wav" "Telefo__.bmp" "blank___.bmp" "-" 0 0 1 97 9 97 0 0 0 6 14 1 NA NA NA NA NA NA NA NA NA NA
"110" 1 106 980 "/" "0" "sonaPRP" "g_Kanone.wav" "Frosch__.bmp" "blank___.bmp" "-" 0 0 5 92 9 90 0 0 0 7 9 1 NA NA NA NA NA NA NA NA NA NA
"111" 1 107 967 "/" "0" "sonaPRP" "g_Toilet.wav" "Grille__.bmp" "blank___.bmp" "-" 0 0 3 95 9 91 0 0 0 8 14 1 NA NA NA NA NA NA NA NA NA NA
"112" 1 108 1070 "/" "0" "sonaPRP" "g_Pfeife.wav" "Pistol__.bmp" "blank___.bmp" "-" 0 0 3 93 9 94 0 0 0 6 6 1 NA NA NA NA NA NA NA NA NA NA
"113" 1 109 788 "/" "0" "sonaPRP" "g_Telefo.wav" "Telefo__.bmp" "blank___.bmp" "-" 0 0 1 97 9 97 0 0 0 6 14 1 NA NA NA NA NA NA NA NA NA NA
"114" 1 110 930 "/" "0" "sonaPRP" "g_Grille.wav" "Pistol__.bmp" "blank___.bmp" "-" 0 0 5 91 9 94 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA NA
"115" 1 111 933 "/" "0" "sonaPRP" "g_Frosch.wav" "Telefo__.bmp" "blank___.bmp" "-" 0 0 6 90 9 97 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA NA
"116" 1 112 1000 "/" "0" "sonaPRP" "g_Hubsch.wav" "Grille__.bmp" "blank___.bmp" "-" 0 0 5 96 9 91 0 0 0 2 8 1 NA NA NA NA NA NA NA NA NA NA
"117" 1 115 834 ">" "+" "sonaPRP" "g_Toilet.wav" "Grille__.bmp" "rechts__.bmp" ">" 672 0 3 95 9 91 0 0 0 8 14 1 NA NA NA NA NA NA NA NA NA NA
"118" 1 115 1775 "/" "0" "sonaPRP" "g_Toilet.wav" "Grille__.bmp" "rechts__.bmp" ">" 672 0 3 95 9 91 0 0 0 8 14 1 NA NA NA NA NA NA NA NA NA NA
"119" 1 116 599 "<" "+" "sonaPRP" "g_Hubsch.wav" "Pfeife__.bmp" "links___.bmp" "<" 672 0 3 96 9 93 0 0 0 2 8 1 NA NA NA NA NA NA NA NA NA NA
"120" 1 116 1243 "/" "0" "sonaPRP" "g_Hubsch.wav" "Pfeife__.bmp" "links___.bmp" "<" 672 0 3 96 9 93 0 0 0 2 8 1 NA NA NA NA NA NA NA NA NA NA
"121" 1 117 464 "<" "+" "sonaPRP" "g_Grille.wav" "Grille__.bmp" "links___.bmp" "<" 312 500 1 91 9 91 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA NA
"122" 1 117 1157 "/" "0" "sonaPRP" "g_Grille.wav" "Grille__.bmp" "links___.bmp" "<" 312 500 1 91 9 91 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA NA
"123" 1 118 605 "<" "+" "sonaPRP" "g_Telefo.wav" "Frosch__.bmp" "links___.bmp" "<" 672 0 4 97 9 90 0 0 0 6 14 1 NA NA NA NA NA NA NA NA NA NA
"124" 1 118 1216 "/" "0" "sonaPRP" "g_Telefo.wav" "Frosch__.bmp" "links___.bmp" "<" 672 0 4 97 9 90 0 0 0 6 14 1 NA NA NA NA NA NA NA NA NA NA
"125" 1 119 489 ">" "+" "sonaPRP" "g_Grille.wav" "Pistol__.bmp" "rechts__.bmp" ">" 312 500 5 91 9 94 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA NA
"126" 1 119 1028 "/" "0" "sonaPRP" "g_Grille.wav" "Pistol__.bmp" "rechts__.bmp" ">" 312 500 5 91 9 94 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA NA
"127" 1 120 508 ">" "+" "sonaPRP" "g_Pfeife.wav" "Pfeife__.bmp" "rechts__.bmp" ">" 312 500 1 93 9 93 0 0 0 6 6 1 NA NA NA NA NA NA NA NA NA NA
"128" 1 120 892 "/" "0" "sonaPRP" "g_Pfeife.wav" "Pfeife__.bmp" "rechts__.bmp" ">" 312 500 1 93 9 93 0 0 0 6 6 1 NA NA NA NA NA NA NA NA NA NA
"129" 1 121 540 "<" "+" "sonaPRP" "g_Kanone.wav" "Grille__.bmp" "links___.bmp" "<" 312 500 4 92 9 91 0 0 0 7 9 1 NA NA NA NA NA NA NA NA NA NA
"130" 1 121 991 "/" "0" "sonaPRP" "g_Kanone.wav" "Grille__.bmp" "links___.bmp" "<" 312 500 4 92 9 91 0 0 0 7 9 1 NA NA NA NA NA NA NA NA NA NA
