"targ_ID" "cond" "task.soa" "subj" "trial" "RT.task1" "ERR.code.task1" "RT.task2" "ERR.code.task2" "dist_ID" "blk" "ERR.task1" "ERR.task2.old" "ERR.task2" "RT.task1.old" "RT.task2.old" "out" "exp"
"1" "Affe" "congruent" "0" "17" 335 531 "correct" 802 "correct" "Affe" "4" 0 0 0 531 802 0 2
"2" "Affe" "congruent" "0" "2" 393 524 "correct" 780 "correct" "Affe" "4" 0 0 0 524 780 0 2
"3" "Affe" "congruent" "0" "21" 150 568 "correct" 1067 "correct" "Affe" "1" 0 0 0 568 1067 0 2
"4" "Affe" "congruent" "0" "10" 383 434 "correct" 866 "correct" "Affe" "4" 0 0 0 434 866 0 2
"5" "Affe" "congruent" "0" "9" 354 659 "correct" 1091 "correct" "Affe" "4" 0 0 0 659 1091 0 2
"6" "Affe" "congruent" "0" "8" 176 634 "correct" 1135 "correct" "Affe" "1" 0 0 0 634 1135 0 2
"7" "Affe" "congruent" "0" "16" 177 532 "correct" 844 "correct" "Affe" "1" 0 0 0 532 844 0 2
"8" "Affe" "congruent" "0" "5" 149 672 "correct" 1112 "correct" "Affe" "1" 0 0 0 672 1112 0 2
"9" "Affe" "congruent" "0" "3" 319 608 "correct" 1296 "correct" "Affe" "3" 0 0 0 608 1296 0 2
"10" "Affe" "congruent" "0" "6" 220 870 "correct" 1095 "correct" "Affe" "2" 0 0 0 870 1095 0 2
"11" "Affe" "congruent" "0" "24" 187 508 "correct" 815 "correct" "Affe" "1" 0 0 0 508 815 0 2
"12" "Affe" "congruent" "0" "7" 253 599 "correct" 755 "correct" "Affe" "2" 0 0 0 599 755 0 2
"13" "Affe" "congruent" "0" "19" 329 468 "correct" 1078 "correct" "Affe" "3" 0 0 0 468 1078 0 2
"14" "Affe" "congruent" "0" "4" 279 583 "correct" 911 "correct" "Affe" "3" 0 0 0 583 911 0 2
"15" "Affe" "congruent" "0" "15" 262 520 "correct" 897 "correct" "Affe" "2" 0 0 0 520 897 0 2
