"targ_ID" "cond" "task.soa" "subj" "trial" "RT.task1" "ERR.code.task1" "RT.task2" "ERR.code.task2" "dist_ID" "blk" "ERR.task1" "ERR.task2.old" "ERR.task2" "RT.task1.old" "RT.task2.old" "out" "exp"
"16" "Affe" "congruent" "0" "22" 201 821 "correct" NA "correct" "Affe" "2" 0 0 0 821 1443 1 2
"17" "Affe" "congruent" "0" "11" 321 596 "correct" 1004 "correct" "Affe" "3" 0 0 0 596 1004 0 2
"18" "Affe" "congruent" "0" "12" 280 563 "correct" 1131 "correct" "Affe" "3" 0 0 0 563 1131 0 2
"19" "Affe" "congruent" "0" "18" 378 531 "correct" NA "smack" "Affe" "4" 0 1 1 531 1128 0 2
"20" "Affe" "congruent" "0" "1" 340 660 "correct" 1387 "correct" "Affe" "4" 0 0 0 660 1387 0 2
"21" "Affe" "congruent" "0" "13" 140 797 "correct" 1280 "correct" "Affe" "1" 0 0 0 797 1280 0 2
"22" "Affe" "congruent" "0" "20" 274 544 "correct" 1019 "correct" "Affe" "3" 0 0 0 544 1019 0 2
"23" "Affe" "congruent" "0" "14" 208 565 "correct" 888 "correct" "Affe" "2" 0 0 0 565 888 0 2
"24" "Affe" "congruent" "0" "23" 238 589 "correct" 1004 "correct" "Affe" "2" 0 0 0 589 1004 0 2
"25" "Affe" "congruent" "500" "22" 392 717 "correct" 723 "correct" "Affe" "4" 0 0 0 717 723 0 2
"26" "Affe" "congruent" "500" "4" 179 506 "correct" 708 "correct" "Affe" "1" 0 0 0 506 708 0 2
"27" "Affe" "congruent" "500" "11" 259 498 "correct" 804 "correct" "Affe" "2" 0 0 0 498 804 0 2
"28" "Affe" "congruent" "500" "1" 156 850 "correct" 1032 "correct" "Affe" "1" 0 0 0 850 1032 0 2
"29" "Affe" "congruent" "500" "8" 293 450 "correct" 659 "correct" "Affe" "3" 0 0 0 450 659 0 2
"30" "Affe" "congruent" "500" "12" 176 935 "correct" NA "none/false" "Affe" "1" 0 1 1 935 3000 0 2
"31" "Affe" "congruent" "500" "19" 253 454 "correct" 728 "correct" "Affe" "2" 0 0 0 454 728 0 2
"32" "Affe" "congruent" "500" "24" 273 472 "correct" 596 "correct" "Affe" "3" 0 0 0 472 596 0 2
"33" "Affe" "congruent" "500" "2" 213 606 "correct" 719 "correct" "Affe" "2" 0 0 0 606 719 0 2
"34" "Affe" "congruent" "500" "15" 308 1175 "correct" NA "correct" "Affe" "3" 0 0 0 1175 1160 1 2
"35" "Affe" "congruent" "500" "23" 313 556 "correct" 681 "correct" "Affe" "3" 0 0 0 556 681 0 2
"36" "Affe" "congruent" "500" "9" 155 956 "correct" 1134 "correct" "Affe" "1" 0 0 0 956 1134 0 2
"37" "Affe" "congruent" "500" "13" 355 751 "correct" 759 "correct" "Affe" "4" 0 0 0 751 759 0 2
"38" "Affe" "congruent" "500" "10" 219 522 "correct" 1143 "correct" "Affe" "2" 0 0 0 522 1143 0 2
"39" "Affe" "congruent" "500" "17" 141 457 "correct" NA "none/false" "Affe" "1" 0 1 1 457 3000 0 2
"40" "Affe" "congruent" "500" "20" 185 553 "correct" 910 "correct" "Affe" "1" 0 0 0 553 910 0 2
"41" "Affe" "congruent" "500" "21" 347 NA "none/false" 982 "correct" "Affe" "4" 1 0 0 398 982 0 2
"42" "Affe" "congruent" "500" "14" 376 648 "correct" 796 "correct" "Affe" "4" 0 0 0 648 796 0 2
"43" "Affe" "congruent" "500" "7" 312 479 "correct" 676 "correct" "Affe" "3" 0 0 0 479 676 0 2
"44" "Affe" "congruent" "500" "18" 216 409 "correct" 777 "correct" "Affe" "2" 0 0 0 409 777 0 2
"45" "Affe" "congruent" "500" "5" 345 482 "correct" 716 "correct" "Affe" "4" 0 0 0 482 716 0 2
"46" "Affe" "congruent" "500" "16" 281 508 "correct" 801 "correct" "Affe" "3" 0 0 0 508 801 0 2
"47" "Affe" "congruent" "500" "6" 378 524 "correct" 732 "correct" "Affe" "4" 0 0 0 524 732 0 2
"48" "Affe" "congruent" "500" "3" 235 598 "correct" 889 "correct" "Affe" "2" 0 0 0 598 889 0 2
"49" "Affe" "semantic" "0" "7" 220 597 "correct" 1034 "correct" "Kuh" "2" 0 0 0 597 1034 0 2
"50" "Affe" "semantic" "0" "17" 274 538 "correct" 863 "correct" "Kuh" "3" 0 0 0 538 863 0 2
"51" "Affe" "semantic" "0" "6" 149 1000 "correct" NA "technical" "Kuh" "1" 0 1 0 1000 1093 0 2
"52" "Affe" "semantic" "0" "18" 335 468 "correct" 1095 "correct" "Kuh" "4" 0 0 0 468 1095 0 2
"53" "Affe" "semantic" "0" "21" 187 671 "correct" 1002 "correct" "Kuh" "1" 0 0 0 671 1002 0 2
"54" "Affe" "semantic" "0" "1" 279 760 "correct" 1332 "correct" "Kuh" "3" 0 0 0 760 1332 0 2
"55" "Affe" "semantic" "0" "16" 262 581 "correct" 1144 "correct" "Kuh" "2" 0 0 0 581 1144 0 2
"56" "Affe" "semantic" "0" "24" 238 572 "correct" 996 "correct" "Kuh" "2" 0 0 0 572 996 0 2
"57" "Affe" "semantic" "0" "11" 383 531 "correct" 1198 "correct" "Kuh" "4" 0 0 0 531 1198 0 2
"58" "Affe" "semantic" "0" "13" 177 643 "correct" 1305 "correct" "Kuh" "1" 0 0 0 643 1305 0 2
"59" "Affe" "semantic" "0" "23" 201 482 "correct" 1008 "correct" "Kuh" "2" 0 0 0 482 1008 0 2
"60" "Affe" "semantic" "0" "3" 393 613 "correct" 1388 "correct" "Kuh" "4" 0 0 0 613 1388 0 2
"61" "Affe" "semantic" "0" "5" 176 657 "correct" 1419 "correct" "Kuh" "1" 0 0 0 657 1419 0 2
"62" "Affe" "semantic" "0" "10" 354 525 "correct" 962 "correct" "Kuh" "4" 0 0 0 525 962 0 2
"63" "Affe" "semantic" "0" "14" 140 607 "correct" 1822 "correct" "Kuh" "1" 0 0 0 607 1822 0 2
"64" "Affe" "semantic" "0" "8" 253 697 "correct" 1115 "correct" "Kuh" "2" 0 0 0 697 1115 0 2
"65" "Affe" "semantic" "0" "12" 321 801 "correct" 1599 "correct" "Kuh" "3" 0 0 0 801 1599 0 2
"66" "Affe" "semantic" "0" "15" 208 534 "correct" 951 "correct" "Kuh" "2" 0 0 0 534 951 0 2
"67" "Affe" "semantic" "0" "19" 378 481 "correct" 966 "correct" "Kuh" "4" 0 0 0 481 966 0 2
"68" "Affe" "semantic" "0" "9" 280 724 "correct" 1167 "correct" "Kuh" "3" 0 0 0 724 1167 0 2
"69" "Affe" "semantic" "0" "20" 329 675 "correct" 1161 "correct" "Kuh" "3" 0 0 0 675 1161 0 2
"70" "Affe" "semantic" "0" "22" 150 948 "correct" 1170 "correct" "Kuh" "1" 0 0 0 948 1170 0 2
"71" "Affe" "semantic" "0" "2" 340 646 "correct" 845 "correct" "Kuh" "4" 0 0 0 646 845 0 2
"72" "Affe" "semantic" "0" "4" 319 445 "correct" 1043 "correct" "Kuh" "3" 0 0 0 445 1043 0 2
"73" "Affe" "semantic" "500" "8" 312 639 "correct" 823 "correct" "Kuh" "3" 0 0 0 639 823 0 2
"74" "Affe" "semantic" "500" "23" 392 509 "correct" 970 "correct" "Kuh" "4" 0 0 0 509 970 0 2
"75" "Affe" "semantic" "500" "4" 235 461 "correct" 966 "correct" "Kuh" "2" 0 0 0 461 966 0 2
"76" "Affe" "semantic" "500" "19" 216 648 "correct" 992 "correct" "Kuh" "2" 0 0 0 648 992 0 2
"77" "Affe" "semantic" "500" "9" 176 818 "correct" 1101 "correct" "Kuh" "1" 0 0 0 818 1101 0 2
"78" "Affe" "semantic" "500" "22" 347 749 "correct" 1629 "correct" "Kuh" "4" 0 0 0 749 1629 0 2
"79" "Affe" "semantic" "500" "17" 185 359 "correct" NA "none/false" "Kuh" "1" 0 1 1 359 3000 0 2
"80" "Affe" "semantic" "500" "2" 156 1566 "correct" 1364 "correct" "Kuh" "1" 0 0 0 1566 1364 0 2
"81" "Affe" "semantic" "500" "24" 313 473 "correct" 741 "correct" "Kuh" "3" 0 0 0 473 741 0 2
"82" "Affe" "semantic" "500" "12" 259 875 "correct" 979 "correct" "Kuh" "2" 0 0 0 875 979 0 2
"83" "Affe" "semantic" "500" "16" 308 543 "correct" 938 "correct" "Kuh" "3" 0 0 0 543 938 0 2
"84" "Affe" "semantic" "500" "1" 179 662 "correct" 841 "correct" "Kuh" "1" 0 0 0 662 841 0 2
"85" "Affe" "semantic" "500" "6" 345 632 "correct" 1054 "correct" "Kuh" "4" 0 0 0 632 1054 0 2
"86" "Affe" "semantic" "500" "18" 141 371 "correct" NA "none/false" "Kuh" "1" 0 1 1 371 1718 0 2
"87" "Affe" "semantic" "500" "3" 213 793 "correct" 1272 "correct" "Kuh" "2" 0 0 0 793 1272 0 2
"88" "Affe" "semantic" "500" "20" 253 692 "correct" 960 "correct" "Kuh" "2" 0 0 0 692 960 0 2
"89" "Affe" "semantic" "500" "21" 273 434 "correct" 812 "correct" "Kuh" "3" 0 0 0 434 812 0 2
"90" "Affe" "semantic" "500" "13" 281 588 "correct" 798 "correct" "Kuh" "3" 0 0 0 588 798 0 2
"91" "Affe" "semantic" "500" "14" 355 584 "correct" 1075 "correct" "Kuh" "4" 0 0 0 584 1075 0 2
"92" "Affe" "semantic" "500" "10" 155 511 "correct" 1247 "correct" "Kuh" "1" 0 0 0 511 1247 0 2
"93" "Affe" "semantic" "500" "5" 293 507 "correct" 1028 "correct" "Kuh" "3" 0 0 0 507 1028 0 2
"94" "Affe" "semantic" "500" "15" 376 652 "correct" NA "none/false" "Kuh" "4" 0 1 1 652 3000 0 2
"95" "Affe" "semantic" "500" "11" 219 515 "correct" 1281 "correct" "Kuh" "2" 0 0 0 515 1281 0 2
"96" "Affe" "semantic" "500" "7" 378 611 "correct" 806 "correct" "Kuh" "4" 0 0 0 611 806 0 2
"97" "Affe" "unrelated" "0" "7" 149 518 "correct" NA "correct" "Gitarre" "1" 0 0 0 518 2479 1 2
"98" "Affe" "unrelated" "0" "19" 335 500 "correct" 907 "correct" "Gitarre" "4" 0 0 0 500 907 0 2
"99" "Affe" "unrelated" "0" "20" 378 694 "correct" 1104 "correct" "Gitarre" "4" 0 0 0 694 1104 0 2
"100" "Affe" "unrelated" "0" "1" 319 616 "correct" 1034 "correct" "Gitarre" "3" 0 0 0 616 1034 0 2
"101" "Affe" "unrelated" "0" "21" 238 603 "correct" 819 "correct" "Gitarre" "2" 0 0 0 603 819 0 2
"102" "Affe" "unrelated" "0" "10" 280 529 "correct" 996 "correct" "Gitarre" "3" 0 0 0 529 996 0 2
"103" "Affe" "unrelated" "0" "23" 150 1064 "correct" 1526 "correct" "Gitarre" "1" 0 0 0 1064 1526 0 2
"104" "Affe" "unrelated" "0" "14" 177 586 "correct" 1347 "correct" "Gitarre" "1" 0 0 0 586 1347 0 2
"105" "Affe" "unrelated" "0" "12" 383 671 "correct" NA "smack" "Gitarre" "4" 0 1 1 671 732 0 2
"106" "Affe" "unrelated" "0" "11" 354 558 "correct" 1149 "correct" "Gitarre" "4" 0 0 0 558 1149 0 2
"107" "Affe" "unrelated" "0" "3" 340 702 "correct" 1146 "correct" "Gitarre" "4" 0 0 0 702 1146 0 2
"108" "Affe" "unrelated" "0" "17" 329 520 "correct" 918 "correct" "Gitarre" "3" 0 0 0 520 918 0 2
"109" "Affe" "unrelated" "0" "13" 262 728 "correct" 853 "correct" "Gitarre" "2" 0 0 0 728 853 0 2
"110" "Affe" "unrelated" "0" "5" 253 529 "correct" 985 "correct" "Gitarre" "2" 0 0 0 529 985 0 2
"111" "Affe" "unrelated" "0" "8" 220 620 "correct" NA "none/false" "Gitarre" "2" 0 1 1 620 3000 0 2
"112" "Affe" "unrelated" "0" "6" 176 785 "correct" 1136 "correct" "Gitarre" "1" 0 0 0 785 1136 0 2
"113" "Affe" "unrelated" "0" "22" 187 653 "correct" NA "technical" "Gitarre" "1" 0 1 0 653 658 0 2
"114" "Affe" "unrelated" "0" "18" 274 555 "correct" 1122 "correct" "Gitarre" "3" 0 0 0 555 1122 0 2
"115" "Affe" "unrelated" "0" "24" 201 573 "correct" 1044 "correct" "Gitarre" "2" 0 0 0 573 1044 0 2
"116" "Affe" "unrelated" "0" "16" 208 569 "correct" 1610 "correct" "Gitarre" "2" 0 0 0 569 1610 0 2
"117" "Affe" "unrelated" "0" "4" 393 586 "correct" 1015 "correct" "Gitarre" "4" 0 0 0 586 1015 0 2
"118" "Affe" "unrelated" "0" "2" 279 552 "correct" 837 "correct" "Gitarre" "3" 0 0 0 552 837 0 2
"119" "Affe" "unrelated" "0" "9" 321 706 "correct" 1030 "correct" "Gitarre" "3" 0 0 0 706 1030 0 2
"120" "Affe" "unrelated" "0" "15" 140 726 "correct" 1232 "correct" "Gitarre" "1" 0 0 0 726 1232 0 2
"121" "Affe" "unrelated" "500" "24" 392 457 "correct" 1113 "correct" "Gitarre" "4" 0 0 0 457 1113 0 2
"122" "Affe" "unrelated" "500" "9" 259 656 "correct" 899 "correct" "Gitarre" "2" 0 0 0 656 899 0 2
"123" "Affe" "unrelated" "500" "7" 345 396 "correct" 899 "correct" "Gitarre" "4" 0 0 0 396 899 0 2
"124" "Affe" "unrelated" "500" "2" 179 848 "correct" 820 "correct" "Gitarre" "1" 0 0 0 848 820 0 2
"125" "Affe" "unrelated" "500" "12" 219 892 "correct" 1189 "correct" "Gitarre" "2" 0 0 0 892 1189 0 2
"126" "Affe" "unrelated" "500" "18" 185 480 "correct" NA "technical" "Gitarre" "1" 0 1 0 480 133 0 2
"127" "Affe" "unrelated" "500" "5" 312 632 "correct" 818 "correct" "Gitarre" "3" 0 0 0 632 818 0 2
"128" "Affe" "unrelated" "500" "20" 216 719 "correct" 1306 "correct" "Gitarre" "2" 0 0 0 719 1306 0 2
"129" "Affe" "unrelated" "500" "6" 293 774 "correct" 1109 "correct" "Gitarre" "3" 0 0 0 774 1109 0 2
"130" "Affe" "unrelated" "500" "3" 156 824 "correct" 2145 "correct" "Gitarre" "1" 0 0 0 824 2145 0 2
"131" "Affe" "unrelated" "500" "17" 253 502 "correct" 874 "correct" "Gitarre" "2" 0 0 0 502 874 0 2
"132" "Affe" "unrelated" "500" "23" 347 394 "correct" 920 "correct" "Gitarre" "4" 0 0 0 394 920 0 2
"133" "Affe" "unrelated" "500" "15" 355 772 "correct" NA "none/false" "Gitarre" "4" 0 1 1 772 3000 0 2
"134" "Affe" "unrelated" "500" "13" 308 678 "correct" 818 "correct" "Gitarre" "3" 0 0 0 678 818 0 2
"135" "Affe" "unrelated" "500" "10" 176 609 "correct" 1011 "correct" "Gitarre" "1" 0 0 0 609 1011 0 2
"136" "Affe" "unrelated" "500" "1" 235 537 "correct" 793 "correct" "Gitarre" "2" 0 0 0 537 793 0 2
"137" "Affe" "unrelated" "500" "8" 378 576 "correct" 733 "correct" "Gitarre" "4" 0 0 0 576 733 0 2
"138" "Affe" "unrelated" "500" "11" 155 494 "correct" 1288 "correct" "Gitarre" "1" 0 0 0 494 1288 0 2
"139" "Affe" "unrelated" "500" "16" 376 811 "correct" 880 "correct" "Gitarre" "4" 0 0 0 811 880 0 2
"140" "Affe" "unrelated" "500" "19" 141 775 "correct" 1285 "correct" "Gitarre" "1" 0 0 0 775 1285 0 2
"141" "Affe" "unrelated" "500" "14" 281 850 "correct" 927 "correct" "Gitarre" "3" 0 0 0 850 927 0 2
"142" "Affe" "unrelated" "500" "4" 213 360 "correct" 1239 "correct" "Gitarre" "2" 0 0 0 360 1239 0 2
"143" "Affe" "unrelated" "500" "22" 273 687 "correct" 829 "correct" "Gitarre" "3" 0 0 0 687 829 0 2
"144" "Affe" "unrelated" "500" "21" 313 494 "correct" 685 "correct" "Gitarre" "3" 0 0 0 494 685 0 2
"145" "Auto" "congruent" "0" "8" 155 591 "correct" 1101 "correct" "Auto" "1" 0 0 0 591 1101 0 2
"146" "Auto" "congruent" "0" "2" 325 696 "correct" 1029 "correct" "Auto" "3" 0 0 0 696 1029 0 2
"147" "Auto" "congruent" "0" "17" 392 493 "correct" 771 "correct" "Auto" "4" 0 0 0 493 771 0 2
"148" "Auto" "congruent" "0" "23" 184 490 "correct" NA "smack" "Auto" "1" 0 1 1 490 1074 0 2
"149" "Auto" "congruent" "0" "10" 310 533 "correct" 1025 "correct" "Auto" "3" 0 0 0 533 1025 0 2
"150" "Auto" "congruent" "0" "12" 360 583 "correct" 1346 "correct" "Auto" "4" 0 0 0 583 1346 0 2
"151" "Auto" "congruent" "0" "3" 287 716 "correct" 1401 "correct" "Auto" "3" 0 0 0 716 1401 0 2
"152" "Auto" "congruent" "0" "6" 262 573 "correct" 1035 "correct" "Auto" "2" 0 0 0 573 1035 0 2
"153" "Auto" "congruent" "0" "11" 277 648 "correct" 1151 "correct" "Auto" "3" 0 0 0 648 1151 0 2
"154" "Auto" "congruent" "0" "14" 253 576 "correct" 969 "correct" "Auto" "2" 0 0 0 576 969 0 2
"155" "Auto" "congruent" "0" "24" 158 616 "correct" 1039 "correct" "Auto" "1" 0 0 0 616 1039 0 2
"156" "Auto" "congruent" "0" "9" 382 515 "correct" 846 "correct" "Auto" "4" 0 0 0 515 846 0 2
"157" "Auto" "congruent" "0" "7" 177 548 "correct" 1065 "correct" "Auto" "1" 0 0 0 548 1065 0 2
"158" "Auto" "congruent" "0" "21" 217 610 "correct" 1034 "correct" "Auto" "2" 0 0 0 610 1034 0 2
"159" "Auto" "congruent" "0" "20" 342 518 "correct" 915 "correct" "Auto" "4" 0 0 0 518 915 0 2
"160" "Auto" "congruent" "0" "13" 210 NA "none/false" 1262 "correct" "Auto" "2" 1 0 0 664 1262 0 2
"161" "Auto" "congruent" "0" "5" 205 564 "correct" 800 "correct" "Auto" "2" 0 0 0 564 800 0 2
"162" "Auto" "congruent" "0" "22" 239 576 "correct" 1048 "correct" "Auto" "2" 0 0 0 576 1048 0 2
"163" "Auto" "congruent" "0" "16" 141 516 "correct" 1313 "correct" "Auto" "1" 0 0 0 516 1313 0 2
"164" "Auto" "congruent" "0" "18" 324 490 "correct" 774 "correct" "Auto" "3" 0 0 0 490 774 0 2
"165" "Auto" "congruent" "0" "19" 268 472 "correct" 1036 "correct" "Auto" "3" 0 0 0 472 1036 0 2
"166" "Auto" "congruent" "0" "1" 382 593 "correct" 1018 "correct" "Auto" "4" 0 0 0 593 1018 0 2
"167" "Auto" "congruent" "0" "15" 175 704 "correct" 1167 "correct" "Auto" "1" 0 0 0 704 1167 0 2
"168" "Auto" "congruent" "0" "4" 364 616 "correct" 895 "correct" "Auto" "4" 0 0 0 616 895 0 2
"169" "Auto" "congruent" "500" "17" 222 507 "correct" 737 "correct" "Auto" "2" 0 0 0 507 737 0 2
"170" "Auto" "congruent" "500" "4" 160 503 "correct" 1445 "correct" "Auto" "1" 0 0 0 503 1445 0 2
"171" "Auto" "congruent" "500" "9" 216 402 "correct" 720 "correct" "Auto" "2" 0 0 0 402 720 0 2
"172" "Auto" "congruent" "500" "18" 254 436 "correct" 712 "correct" "Auto" "2" 0 0 0 436 712 0 2
"173" "Auto" "congruent" "500" "2" 257 673 "correct" 613 "correct" "Auto" "2" 0 0 0 673 613 0 2
"174" "Auto" "congruent" "500" "5" 396 402 "correct" 651 "correct" "Auto" "4" 0 0 0 402 651 0 2
"175" "Auto" "congruent" "500" "16" 354 605 "correct" 926 "correct" "Auto" "4" 0 0 0 605 926 0 2
"176" "Auto" "congruent" "500" "10" 238 591 "correct" 677 "correct" "Auto" "2" 0 0 0 591 677 0 2
"177" "Auto" "congruent" "500" "22" 304 637 "correct" 785 "correct" "Auto" "3" 0 0 0 637 785 0 2
"178" "Auto" "congruent" "500" "15" 277 718 "correct" 959 "correct" "Auto" "3" 0 0 0 718 959 0 2
"179" "Auto" "congruent" "500" "14" 312 878 "correct" 709 "correct" "Auto" "3" 0 0 0 878 709 0 2
"180" "Auto" "congruent" "500" "24" 346 504 "correct" 583 "correct" "Auto" "4" 0 0 0 504 583 0 2
"181" "Auto" "congruent" "500" "7" 287 511 "correct" 611 "correct" "Auto" "3" 0 0 0 511 611 0 2
"182" "Auto" "congruent" "500" "6" 329 458 "correct" NA "none/false" "Auto" "3" 0 1 1 458 1400 0 2
"183" "Auto" "congruent" "500" "3" 176 669 "correct" 819 "correct" "Auto" "1" 0 0 0 669 819 0 2
"184" "Auto" "congruent" "500" "23" 269 532 "correct" 810 "correct" "Auto" "3" 0 0 0 532 810 0 2
"185" "Auto" "congruent" "500" "1" 224 743 "correct" 956 "correct" "Auto" "2" 0 0 0 743 956 0 2
"186" "Auto" "congruent" "500" "19" 193 914 "correct" 990 "correct" "Auto" "1" 0 0 0 914 990 0 2
"187" "Auto" "congruent" "500" "8" 355 433 "correct" 613 "correct" "Auto" "4" 0 0 0 433 613 0 2
"188" "Auto" "congruent" "500" "20" 139 642 "correct" 924 "correct" "Auto" "1" 0 0 0 642 924 0 2
"189" "Auto" "congruent" "500" "11" 180 417 "correct" 768 "correct" "Auto" "1" 0 0 0 417 768 0 2
"190" "Auto" "congruent" "500" "21" 384 436 "correct" NA "correct" "Auto" "4" 0 0 0 436 1687 1 2
"191" "Auto" "congruent" "500" "13" 371 984 "correct" 920 "correct" "Auto" "4" 0 0 0 984 920 0 2
"192" "Auto" "congruent" "500" "12" 152 811 "correct" 1149 "correct" "Auto" "1" 0 0 0 811 1149 0 2
"193" "Auto" "semantic" "0" "8" 177 847 "correct" 1537 "correct" "Fahrrad" "1" 0 0 0 847 1537 0 2
"194" "Auto" "semantic" "0" "7" 262 601 "correct" 985 "correct" "Fahrrad" "2" 0 0 0 601 985 0 2
"195" "Auto" "semantic" "0" "12" 277 717 "correct" 1593 "correct" "Fahrrad" "3" 0 0 0 717 1593 0 2
"196" "Auto" "semantic" "0" "16" 175 520 "correct" 1181 "correct" "Fahrrad" "1" 0 0 0 520 1181 0 2
"197" "Auto" "semantic" "0" "20" 268 640 "correct" 1090 "correct" "Fahrrad" "3" 0 0 0 640 1090 0 2
"198" "Auto" "semantic" "0" "22" 217 596 "correct" 1344 "correct" "Fahrrad" "2" 0 0 0 596 1344 0 2
"199" "Auto" "semantic" "0" "13" 141 853 "correct" 1174 "correct" "Fahrrad" "1" 0 0 0 853 1174 0 2
"200" "Auto" "semantic" "0" "6" 205 835 "correct" 1121 "correct" "Fahrrad" "2" 0 0 0 835 1121 0 2
"201" "Auto" "semantic" "0" "19" 324 572 "correct" 1140 "correct" "Fahrrad" "3" 0 0 0 572 1140 0 2
"202" "Auto" "semantic" "0" "17" 342 436 "correct" 934 "correct" "Fahrrad" "4" 0 0 0 436 934 0 2
"203" "Auto" "semantic" "0" "14" 210 610 "correct" 1014 "correct" "Fahrrad" "2" 0 0 0 610 1014 0 2
"204" "Auto" "semantic" "0" "24" 184 657 "correct" 1521 "correct" "Fahrrad" "1" 0 0 0 657 1521 0 2
"205" "Auto" "semantic" "0" "2" 382 587 "correct" 816 "correct" "Fahrrad" "4" 0 0 0 587 816 0 2
"206" "Auto" "semantic" "0" "4" 287 436 "correct" 1064 "correct" "Fahrrad" "3" 0 0 0 436 1064 0 2
"207" "Auto" "semantic" "0" "5" 155 579 "correct" 944 "correct" "Fahrrad" "1" 0 0 0 579 944 0 2
"208" "Auto" "semantic" "0" "3" 325 824 "correct" 1187 "correct" "Fahrrad" "3" 0 0 0 824 1187 0 2
"209" "Auto" "semantic" "0" "21" 158 655 "correct" NA "none/false" "Fahrrad" "1" 0 1 1 655 3000 0 2
"210" "Auto" "semantic" "0" "11" 310 652 "correct" 957 "correct" "Fahrrad" "3" 0 0 0 652 957 0 2
"211" "Auto" "semantic" "0" "10" 382 486 "correct" 877 "correct" "Fahrrad" "4" 0 0 0 486 877 0 2
"212" "Auto" "semantic" "0" "9" 360 684 "correct" NA "smack" "Fahrrad" "4" 0 1 1 684 1260 0 2
"213" "Auto" "semantic" "0" "1" 364 650 "correct" 1335 "correct" "Fahrrad" "4" 0 0 0 650 1335 0 2
"214" "Auto" "semantic" "0" "23" 239 953 "correct" 1450 "correct" "Fahrrad" "2" 0 0 0 953 1450 0 2
"215" "Auto" "semantic" "0" "18" 392 523 "correct" 946 "correct" "Fahrrad" "4" 0 0 0 523 946 0 2
"216" "Auto" "semantic" "0" "15" 253 661 "correct" NA "correct" "Fahrrad" "2" 0 0 0 661 2292 1 2
"217" "Auto" "semantic" "500" "11" 238 535 "correct" 900 "correct" "Fahrrad" "2" 0 0 0 535 900 0 2
"218" "Auto" "semantic" "500" "7" 329 430 "correct" 827 "correct" "Fahrrad" "3" 0 0 0 430 827 0 2
"219" "Auto" "semantic" "500" "13" 354 531 "correct" 1292 "correct" "Fahrrad" "4" 0 0 0 531 1292 0 2
"220" "Auto" "semantic" "500" "8" 287 678 "correct" 760 "correct" "Fahrrad" "3" 0 0 0 678 760 0 2
"221" "Auto" "semantic" "500" "14" 371 685 "correct" 775 "correct" "Fahrrad" "4" 0 0 0 685 775 0 2
"222" "Auto" "semantic" "500" "21" 346 503 "correct" 1627 "correct" "Fahrrad" "4" 0 0 0 503 1627 0 2
"223" "Auto" "semantic" "500" "18" 222 410 "correct" 797 "correct" "Fahrrad" "2" 0 0 0 410 797 0 2
"224" "Auto" "semantic" "500" "6" 396 822 "correct" 1022 "correct" "Fahrrad" "4" 0 0 0 822 1022 0 2
"225" "Auto" "semantic" "500" "5" 355 538 "correct" 664 "correct" "Fahrrad" "4" 0 0 0 538 664 0 2
"226" "Auto" "semantic" "500" "12" 180 1144 "correct" 1362 "correct" "Fahrrad" "1" 0 0 0 1144 1362 0 2
"227" "Auto" "semantic" "500" "15" 312 993 "correct" 1073 "correct" "Fahrrad" "3" 0 0 0 993 1073 0 2
"228" "Auto" "semantic" "500" "16" 277 457 "correct" 1104 "correct" "Fahrrad" "3" 0 0 0 457 1104 0 2
