"subj" "trial" "RT" "BPR_Resp" "ERR.code" "eat" "targ" "dist" "BPR_pic" "BPR_corrResp" "BPR_pos" "BPR_let" "BPR_ver" "BPR_rot" "task.soa" "cond" "targ_ID" "subset" "dist_ID" "sem.pair" "blk" "pl" "occ" "sem.kat" "phon.ons" "LatSq1" "LatSq2" "LatSq3" "LatSq4" "cross.coding1" "cross.coding2" "cross.coding3" "cross.coding4" "cross.coding5" "ver"
"26" 1 28 387 "/" "0" "sonafam1" "g_Telefo.wav" "Telefo__.bmp" "w_Telefo.bmp" "000" 1 "97" "9" 97 0 0 0 6 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" 1 29 442 "/" "0" "sonafam1" "g_Hund__.wav" "Hund____.bmp" "w_Hund__.bmp" "000" 1 "17" "2" 17 0 0 0 1 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" 1 30 372 "/" "0" "sonafam1" "g_Kanone.wav" "Kanone__.bmp" "w_Kanone.bmp" "000" 1 "92" "9" 92 0 0 0 7 9 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" 1 31 295 "/" "0" "sonafam1" "g_Schwei.wav" "Schwei__.bmp" "w_Schwei.bmp" "000" 1 "28" "2" 28 0 0 0 1 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" 1 32 558 "/" "0" "sonafam1" "g_Tromme.wav" "Tromme__.bmp" "w_Tromme.bmp" "000" 1 "30" "2" 30 0 0 0 5 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" 1 33 682 "/" "0" "sonafam1" "g_Staubs.wav" "Staubs__.bmp" "w_Staubs.bmp" "000" 1 "29" "2" 29 0 0 0 3 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" 1 34 277 "/" "3" "sonafam1" "g_Hammer.wav" "Hammer__.bmp" "w_Hammer.bmp" "000" 1 "15" "1" 15 0 0 0 4 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" 1 35 585 "/" "0" "sonafam1" "g_Schiff.wav" "Schiff__.bmp" "w_Schiff.bmp" "000" 1 "27" "2" 27 0 0 0 2 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" 1 36 537 "/" "0" "sonafam1" "g_Bohrer.wav" "Bohrer__.bmp" "w_Bohrer.bmp" "000" 1 "04" "2" 4 0 0 0 4 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" 1 37 406 "/" "0" "sonafam1" "g_Fahrra.wav" "Fahrra__.bmp" "w_Fahrra.bmp" "000" 1 "09" "1" 9 0 0 0 2 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" 1 38 447 "/" "0" "sonafam1" "g_Besen_.wav" "Besen___.bmp" "w_Besen_.bmp" "000" 1 "03" "1" 3 0 0 0 3 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
