"targ_ID" "cond" "task.soa" "subj" "trial" "RT.task1" "ERR.code.task1" "RT.task2" "ERR.code.task2" "task1.let" "task1.let_ver" "dist_ID" "blk" "ERR.task1" "ERR.task2.old" "ERR.task2" "RT.task1.old" "RT.task2.old" "out" "exp"
"1" "Affe" "congruent" "0" "2" 367 NA "none/false" 1534 "correct" "L" "normal" "Affe" "4" 1 0 0 783 1534 0 3
"2" "Affe" "congruent" "0" "11" 329 646 "correct" 950 "correct" "L" "normal" "Affe" "3" 0 0 0 646 950 0 3
"3" "Affe" "congruent" "0" "20" 269 NA "none/false" NA "technical" "L" "normal" "Affe" "3" 1 1 0 774 3000 0 3
"4" "Affe" "congruent" "0" "7" 248 831 "correct" 1155 "correct" "L" "normal" "Affe" "2" 0 0 0 831 1155 0 3
"5" "Affe" "congruent" "0" "18" 390 720 "correct" 1055 "correct" "L" "normal" "Affe" "4" 0 0 0 720 1055 0 3
"6" "Affe" "congruent" "0" "12" 297 759 "correct" NA "technical" "L" "normal" "Affe" "3" 0 1 0 759 763 0 3
"7" "Affe" "congruent" "0" "8" 192 828 "correct" NA "technical" "L" "normal" "Affe" "1" 0 1 0 828 1134 0 3
"8" "Affe" "congruent" "0" "17" 359 844 "correct" 1332 "correct" "L" "normal" "Affe" "4" 0 0 0 844 1332 0 3
"9" "Affe" "congruent" "0" "16" 184 NA "none/false" 1895 "correct" "L" "normal" "Affe" "1" 1 0 0 1583 1895 0 3
"10" "Affe" "congruent" "0" "24" 192 687 "correct" 1306 "correct" "L" "normal" "Affe" "1" 0 0 0 687 1306 0 3
"11" "Affe" "congruent" "0" "13" 150 1189 "correct" 1916 "correct" "L" "normal" "Affe" "1" 0 0 0 1189 1916 0 3
"12" "Affe" "congruent" "0" "23" 258 1170 "correct" 1692 "correct" "L" "normal" "Affe" "2" 0 0 0 1170 1692 0 3
"13" "Affe" "congruent" "0" "19" 311 894 "correct" 1464 "correct" "L" "normal" "Affe" "3" 0 0 0 894 1464 0 3
"14" "Affe" "congruent" "0" "5" 138 737 "correct" 1378 "correct" "L" "normal" "Affe" "1" 0 0 0 737 1378 0 3
"15" "Affe" "congruent" "0" "21" 156 816 "correct" 1942 "correct" "L" "normal" "Affe" "1" 0 0 0 816 1942 0 3
"16" "Affe" "congruent" "0" "1" 344 1268 "correct" 1801 "correct" "L" "normal" "Affe" "4" 0 0 0 1268 1801 0 3
"17" "Affe" "congruent" "0" "9" 341 679 "correct" 1189 "correct" "L" "normal" "Affe" "4" 0 0 0 679 1189 0 3
"18" "Affe" "congruent" "0" "10" 379 767 "correct" 1192 "correct" "L" "normal" "Affe" "4" 0 0 0 767 1192 0 3
"19" "Affe" "congruent" "0" "3" 315 1690 "correct" 2043 "correct" "L" "normal" "Affe" "3" 0 0 0 1690 2043 0 3
"20" "Affe" "congruent" "0" "4" 277 882 "correct" 1233 "correct" "L" "normal" "Affe" "3" 0 0 0 882 1233 0 3
"21" "Affe" "congruent" "0" "14" 225 813 "correct" 1465 "correct" "L" "normal" "Affe" "2" 0 0 0 813 1465 0 3
"22" "Affe" "congruent" "0" "15" 249 778 "correct" 1251 "correct" "L" "normal" "Affe" "2" 0 0 0 778 1251 0 3
"23" "Affe" "congruent" "0" "6" 201 621 "correct" 1231 "correct" "L" "normal" "Affe" "2" 0 0 0 621 1231 0 3
"24" "Affe" "congruent" "0" "22" 221 709 "correct" 1343 "correct" "L" "normal" "Affe" "2" 0 0 0 709 1343 0 3
"25" "Affe" "congruent" "1500" "7" 327 633 "correct" 680 "correct" "L" "normal" "Affe" "3" 0 0 0 633 680 0 3
"26" "Affe" "congruent" "1500" "13" 366 819 "correct" 792 "correct" "L" "normal" "Affe" "4" 0 0 0 819 792 0 3
"27" "Affe" "congruent" "1500" "6" 389 669 "correct" 729 "correct" "L" "normal" "Affe" "4" 0 0 0 669 729 0 3
"28" "Affe" "congruent" "1500" "20" 169 668 "correct" 816 "correct" "L" "normal" "Affe" "1" 0 0 0 668 816 0 3
"29" "Affe" "congruent" "1500" "2" 212 905 "correct" 954 "correct" "L" "normal" "Affe" "2" 0 0 0 905 954 0 3
"30" "Affe" "congruent" "1500" "23" 300 713 "correct" 914 "correct" "L" "normal" "Affe" "3" 0 0 0 713 914 0 3
"31" "Affe" "congruent" "1500" "16" 297 583 "correct" 1182 "correct" "L" "normal" "Affe" "3" 0 0 0 583 1182 0 3
"32" "Affe" "congruent" "1500" "18" 214 695 "correct" 620 "correct" "L" "normal" "Affe" "2" 0 0 0 695 620 0 3
"33" "Affe" "congruent" "1500" "1" 158 1308 "correct" NA "correct" "L" "normal" "Affe" "1" 0 0 0 1308 1816 1 3
"34" "Affe" "congruent" "1500" "12" 175 822 "correct" 680 "correct" "L" "normal" "Affe" "1" 0 0 0 822 680 0 3
"35" "Affe" "congruent" "1500" "8" 292 720 "correct" 945 "correct" "L" "normal" "Affe" "3" 0 0 0 720 945 0 3
"36" "Affe" "congruent" "1500" "11" 255 574 "correct" 652 "correct" "L" "normal" "Affe" "2" 0 0 0 574 652 0 3
"37" "Affe" "congruent" "1500" "15" 309 770 "correct" 778 "correct" "L" "normal" "Affe" "3" 0 0 0 770 778 0 3
"38" "Affe" "congruent" "1500" "3" 234 817 "correct" 831 "correct" "L" "normal" "Affe" "2" 0 0 0 817 831 0 3
"39" "Affe" "congruent" "1500" "24" 281 773 "correct" 650 "correct" "L" "normal" "Affe" "3" 0 0 0 773 650 0 3
"40" "Affe" "congruent" "1500" "9" 157 645 "correct" 1034 "correct" "L" "normal" "Affe" "1" 0 0 0 645 1034 0 3
"41" "Affe" "congruent" "1500" "17" 151 1071 "correct" 955 "correct" "L" "normal" "Affe" "1" 0 0 0 1071 955 0 3
"42" "Affe" "congruent" "1500" "21" 343 725 "correct" 785 "correct" "L" "normal" "Affe" "4" 0 0 0 725 785 0 3
"43" "Affe" "congruent" "1500" "10" 217 785 "correct" 966 "correct" "L" "normal" "Affe" "2" 0 0 0 785 966 0 3
"44" "Affe" "congruent" "1500" "4" 177 756 "correct" 777 "correct" "L" "normal" "Affe" "1" 0 0 0 756 777 0 3
"45" "Affe" "congruent" "1500" "5" 335 571 "correct" 714 "correct" "L" "normal" "Affe" "4" 0 0 0 571 714 0 3
"46" "Affe" "congruent" "1500" "22" 367 1085 "correct" 884 "correct" "L" "normal" "Affe" "4" 0 0 0 1085 884 0 3
"47" "Affe" "congruent" "1500" "19" 241 963 "correct" 654 "correct" "L" "normal" "Affe" "2" 0 0 0 963 654 0 3
"48" "Affe" "congruent" "1500" "14" 372 761 "correct" 808 "correct" "L" "normal" "Affe" "4" 0 0 0 761 808 0 3
"49" "Affe" "semantic" "0" "22" 156 862 "correct" 1389 "correct" "L" "normal" "Kuh" "1" 0 0 0 862 1389 0 3
"50" "Affe" "semantic" "0" "17" 269 984 "correct" 1472 "correct" "L" "normal" "Kuh" "3" 0 0 0 984 1472 0 3
"51" "Affe" "semantic" "0" "21" 192 989 "correct" 1766 "correct" "L" "normal" "Kuh" "1" 0 0 0 989 1766 0 3
"52" "Affe" "semantic" "0" "2" 344 824 "correct" 1030 "correct" "L" "normal" "Kuh" "4" 0 0 0 824 1030 0 3
"53" "Affe" "semantic" "0" "20" 311 633 "correct" 1239 "correct" "L" "normal" "Kuh" "3" 0 0 0 633 1239 0 3
"54" "Affe" "semantic" "0" "3" 367 910 "correct" 1662 "correct" "L" "normal" "Kuh" "4" 0 0 0 910 1662 0 3
"55" "Affe" "semantic" "0" "4" 315 904 "correct" 1336 "correct" "L" "normal" "Kuh" "3" 0 0 0 904 1336 0 3
"56" "Affe" "semantic" "0" "12" 329 877 "correct" 1321 "correct" "L" "normal" "Kuh" "3" 0 0 0 877 1321 0 3
"57" "Affe" "semantic" "0" "23" 221 NA "none/false" 1718 "correct" "L" "normal" "Kuh" "2" 1 0 0 NA 1718 0 3
"58" "Affe" "semantic" "0" "24" 258 1018 "correct" 1475 "correct" "L" "normal" "Kuh" "2" 0 0 0 1018 1475 0 3
"59" "Affe" "semantic" "0" "18" 359 998 "correct" 1545 "correct" "L" "normal" "Kuh" "4" 0 0 0 998 1545 0 3
"60" "Affe" "semantic" "0" "13" 184 1208 "correct" 2249 "correct" "L" "normal" "Kuh" "1" 0 0 0 1208 2249 0 3
"61" "Affe" "semantic" "0" "11" 379 637 "correct" 937 "correct" "L" "normal" "Kuh" "4" 0 0 0 637 937 0 3
"62" "Affe" "semantic" "0" "8" 248 720 "correct" 1365 "correct" "L" "normal" "Kuh" "2" 0 0 0 720 1365 0 3
"63" "Affe" "semantic" "0" "14" 150 1061 "correct" 2449 "correct" "L" "normal" "Kuh" "1" 0 0 0 1061 2449 0 3
"64" "Affe" "semantic" "0" "19" 390 896 "correct" 1344 "correct" "L" "normal" "Kuh" "4" 0 0 0 896 1344 0 3
"65" "Affe" "semantic" "0" "9" 297 888 "correct" 1764 "correct" "L" "normal" "Kuh" "3" 0 0 0 888 1764 0 3
"66" "Affe" "semantic" "0" "15" 225 873 "correct" 1278 "correct" "L" "normal" "Kuh" "2" 0 0 0 873 1278 0 3
"67" "Affe" "semantic" "0" "5" 192 NA "none/false" 2333 "correct" "L" "normal" "Kuh" "1" 1 0 0 1119 2333 0 3
"68" "Affe" "semantic" "0" "10" 341 810 "correct" 1405 "correct" "L" "normal" "Kuh" "4" 0 0 0 810 1405 0 3
"69" "Affe" "semantic" "0" "6" 138 733 "correct" 1951 "correct" "L" "normal" "Kuh" "1" 0 0 0 733 1951 0 3
"70" "Affe" "semantic" "0" "16" 249 861 "correct" 1795 "correct" "L" "normal" "Kuh" "2" 0 0 0 861 1795 0 3
"71" "Affe" "semantic" "0" "1" 277 1207 "correct" 2171 "correct" "L" "normal" "Kuh" "3" 0 0 0 1207 2171 0 3
"72" "Affe" "semantic" "0" "7" 201 958 "correct" 1527 "correct" "L" "normal" "Kuh" "2" 0 0 0 958 1527 0 3
"73" "Affe" "semantic" "1500" "21" 281 744 "correct" 1237 "correct" "L" "normal" "Kuh" "3" 0 0 0 744 1237 0 3
"74" "Affe" "semantic" "1500" "11" 217 576 "correct" 886 "correct" "L" "normal" "Kuh" "2" 0 0 0 576 886 0 3
"75" "Affe" "semantic" "1500" "2" 158 1103 "correct" 1403 "correct" "L" "normal" "Kuh" "1" 0 0 0 1103 1403 0 3
"76" "Affe" "semantic" "1500" "6" 335 609 "correct" 848 "correct" "L" "normal" "Kuh" "4" 0 0 0 609 848 0 3
"77" "Affe" "semantic" "1500" "19" 214 862 "correct" 938 "correct" "L" "normal" "Kuh" "2" 0 0 0 862 938 0 3
"78" "Affe" "semantic" "1500" "16" 309 600 "correct" 1126 "correct" "L" "normal" "Kuh" "3" 0 0 0 600 1126 0 3
"79" "Affe" "semantic" "1500" "14" 366 1298 "correct" 1175 "correct" "L" "normal" "Kuh" "4" 0 0 0 1298 1175 0 3
"80" "Affe" "semantic" "1500" "1" 177 722 "correct" 1936 "correct" "L" "normal" "Kuh" "1" 0 0 0 722 1936 0 3
"81" "Affe" "semantic" "1500" "13" 297 853 "correct" 974 "correct" "L" "normal" "Kuh" "3" 0 0 0 853 974 0 3
"82" "Affe" "semantic" "1500" "17" 169 1332 "correct" 1280 "correct" "L" "normal" "Kuh" "1" 0 0 0 1332 1280 0 3
